match_id,team_side,player_id,player_name,jersey_number,position,x,y
25-26-prem-aston-villa-vs-newcastle-united,home,53,Malen,2,F,76.0,21.4
25-26-prem-aston-villa-vs-newcastle-united,home,64,Watkins,42,F,59.7,59.5
25-26-prem-aston-villa-vs-newcastle-united,home,40,Mings,54,D,31.5,61.6
25-26-prem-aston-villa-vs-newcastle-united,home,48,Tielemans,41,M,54.4,56.0
25-26-prem-aston-villa-vs-newcastle-united,home,37,Digne,62,D,41.9,84.4
25-26-prem-aston-villa-vs-newcastle-united,home,36,Cash,52,D,41.7,22.0
25-26-prem-aston-villa-vs-newcastle-united,home,,E. Konsa,43,D,39.4,31.9
25-26-prem-aston-villa-vs-newcastle-united,home,47,Rogers,44,M,58.7,64.2
25-26-prem-aston-villa-vs-newcastle-united,home,33,M.Bizot,67,G,9.8,47.9
25-26-prem-aston-villa-vs-newcastle-united,home,58,Kamara,71,M,43.1,42.4
25-26-prem-aston-villa-vs-newcastle-united,home,59,Onana,67,M,41.6,56.3
25-26-prem-aston-villa-vs-newcastle-united,home,54,McGinn,47,M,57.8,23.7
25-26-prem-aston-villa-vs-newcastle-united,away,500,Osula,4,F,80.3,48.8
25-26-prem-aston-villa-vs-newcastle-united,away,497,L.Miley,12,M,61.1,33.0
25-26-prem-aston-villa-vs-newcastle-united,away,486,Elanga,45,F,62.8,16.9
25-26-prem-aston-villa-vs-newcastle-united,away,,Joelinton,53,M,52.3,69.5
25-26-prem-aston-villa-vs-newcastle-united,away,469,Pope,54,G,12.1,48.3
25-26-prem-aston-villa-vs-newcastle-united,away,487,Barnes,52,F,69.9,79.7
25-26-prem-aston-villa-vs-newcastle-united,away,485,Gordon,53,F,64.7,60.7
25-26-prem-aston-villa-vs-newcastle-united,away,489,J.Murphy,17,F,52.3,27.5
25-26-prem-aston-villa-vs-newcastle-united,away,476,Burn,82,D,35.4,59.7
25-26-prem-aston-villa-vs-newcastle-united,away,477,Livramento,80,D,46.5,80.1
25-26-prem-aston-villa-vs-newcastle-united,away,,B. Guimarães,69,M,57.8,41.4
25-26-prem-aston-villa-vs-newcastle-united,away,474,Schär,87,D,39.2,33.3
25-26-prem-aston-villa-vs-newcastle-united,away,478,Trippier,79,D,52.9,17.8
25-26-prem-aston-villa-vs-newcastle-united,away,491,Tonali,83,M,52.5,53.4
25-26-prem-brighton-hove-albion-vs-fulham,home,170,Milner,1,M,50.1,49.9
25-26-prem-brighton-hove-albion-vs-fulham,home,162,Gruda,7,M,60.1,25.1
25-26-prem-brighton-hove-albion-vs-fulham,home,148,F.Kadıoğlu,13,D,47.6,34.1
25-26-prem-brighton-hove-albion-vs-fulham,home,,D. Gómez,20,M,52.7,46.3
25-26-prem-brighton-hove-albion-vs-fulham,home,158,Georginio,27,M,64.5,55.4
25-26-prem-brighton-hove-albion-vs-fulham,home,151,Van Hecke,100,D,32.6,30.4
25-26-prem-brighton-hove-albion-vs-fulham,home,167,Baleba,45,M,46.1,27.2
25-26-prem-brighton-hove-albion-vs-fulham,home,164,O'Riley,39,M,60.6,25.5
25-26-prem-brighton-hove-albion-vs-fulham,home,178,Welbeck,12,F,56.8,49.3
25-26-prem-brighton-hove-albion-vs-fulham,home,139,Verbruggen,53,G,12.2,49.4
25-26-prem-brighton-hove-albion-vs-fulham,home,,K. Mitoma,33,M,68.5,74.7
25-26-prem-brighton-hove-albion-vs-fulham,home,160,Minteh,36,M,68.0,20.1
25-26-prem-brighton-hove-albion-vs-fulham,home,146,Dunk,115,D,32.3,65.3
25-26-prem-brighton-hove-albion-vs-fulham,home,166,Ayari,67,M,50.3,53.7
25-26-prem-brighton-hove-albion-vs-fulham,home,173,Wieffer,82,D,40.6,16.8
25-26-prem-brighton-hove-albion-vs-fulham,home,145,De Cuyper,58,D,47.3,80.0
25-26-prem-brighton-hove-albion-vs-fulham,away,325,Smith Rowe,15,M,66.4,70.5
25-26-prem-brighton-hove-albion-vs-fulham,away,,R. Muniz,12,F,65.5,41.6
25-26-prem-brighton-hove-albion-vs-fulham,away,,A. Traoré,11,F,75.7,31.8
25-26-prem-brighton-hove-albion-vs-fulham,away,324,Iwobi,42,M,62.7,85.6
25-26-prem-brighton-hove-albion-vs-fulham,away,331,Cairney,29,M,49.3,56.8
25-26-prem-brighton-hove-albion-vs-fulham,away,,R. Jiménez,27,F,56.4,48.3
25-26-prem-brighton-hove-albion-vs-fulham,away,330,Berge,29,M,41.1,53.0
25-26-prem-brighton-hove-albion-vs-fulham,away,319,Castagne,9,D,64.7,90.8
25-26-prem-brighton-hove-albion-vs-fulham,away,329,Wilson,38,M,67.6,34.0
25-26-prem-brighton-hove-albion-vs-fulham,away,,J. King,48,M,61.1,71.6
25-26-prem-brighton-hove-albion-vs-fulham,away,332,Lukić,62,M,47.6,44.3
25-26-prem-brighton-hove-albion-vs-fulham,away,322,Tete,65,D,39.1,20.4
25-26-prem-brighton-hove-albion-vs-fulham,away,317,Andersen,73,D,36.9,39.2
25-26-prem-brighton-hove-albion-vs-fulham,away,318,Bassey,90,D,39.1,84.1
25-26-prem-brighton-hove-albion-vs-fulham,away,,J. Cuenca,67,D,34.1,70.5
25-26-prem-brighton-hove-albion-vs-fulham,away,314,Leno,71,G,9.6,50.7
25-26-prem-chelsea-vs-crystal-palace,home,,A. Santos,10,M,59.8,31.4
25-26-prem-chelsea-vs-crystal-palace,home,228,Gusto,19,D,52.2,24.9
25-26-prem-chelsea-vs-crystal-palace,home,250,Delap,13,F,67,46.1
25-26-prem-chelsea-vs-crystal-palace,home,,J. Pedro,29,F,72.5,48.8
25-26-prem-chelsea-vs-crystal-palace,home,,Estêvão,29,M,73.6,16.1
25-26-prem-chelsea-vs-crystal-palace,home,226,Chalobah,129,D,44.9,72.3
25-26-prem-chelsea-vs-crystal-palace,home,,J. Gittens,34,M,59.7,80.8
25-26-prem-chelsea-vs-crystal-palace,home,225,James,109,D,48.7,26.4
25-26-prem-chelsea-vs-crystal-palace,home,235,Palmer,57,M,68.2,59.4
25-26-prem-chelsea-vs-crystal-palace,home,233,Acheampong,122,D,38.7,52.2
25-26-prem-chelsea-vs-crystal-palace,home,,R. Sánchez,56,G,11.6,46.2
25-26-prem-chelsea-vs-crystal-palace,home,,P. Neto,68,M,73.9,50.6
25-26-prem-chelsea-vs-crystal-palace,home,237,Enzo,44,M,57.4,26.9
25-26-prem-chelsea-vs-crystal-palace,home,,M. Cucurella,75,D,58.9,71.8
25-26-prem-chelsea-vs-crystal-palace,home,,M. Caicedo,91,M,48.4,43.8
25-26-prem-chelsea-vs-crystal-palace,away,,J. Lerma,14,M,48.5,49.7
25-26-prem-chelsea-vs-crystal-palace,away,276,Devenny,5,M,34.6,88.5
25-26-prem-chelsea-vs-crystal-palace,away,261,Richards,37,D,29.5,28.9
25-26-prem-chelsea-vs-crystal-palace,away,,D. Muñoz,49,M,48.8,18.2
25-26-prem-chelsea-vs-crystal-palace,away,270,Hughes,30,M,37.2,58.0
25-26-prem-chelsea-vs-crystal-palace,away,273,Wharton,46,M,38.9,38.3
25-26-prem-chelsea-vs-crystal-palace,away,260,Guéhi,34,D,29.5,67.1
25-26-prem-chelsea-vs-crystal-palace,away,267,Sarr,46,F,45.1,42.4
25-26-prem-chelsea-vs-crystal-palace,away,253,Henderson,41,G,7.9,46.0
25-26-prem-chelsea-vs-crystal-palace,away,283,Mateta,44,F,55.7,47.1
25-26-prem-chelsea-vs-crystal-palace,away,257,Lacroix,56,D,23.8,47.5
25-26-prem-chelsea-vs-crystal-palace,away,266,Eze,53,M,56.6,77.4
25-26-prem-chelsea-vs-crystal-palace,away,258,Mitchell,74,M,34.6,82.6
25-26-prem-leeds-united-vs-everton,home,493,Longstaff,2,M,42,25.6
25-26-prem-leeds-united-vs-everton,home,362,Piroe,41,F,62.3,49.8
25-26-prem-leeds-united-vs-everton,home,353,James,37,M,68.2,28.9
25-26-prem-leeds-united-vs-everton,home,350,Aaronson,19,M,64.2,50.1
25-26-prem-leeds-united-vs-everton,home,356,Gruev,7,M,45.3,56.0
25-26-prem-leeds-united-vs-everton,home,352,Harrison,11,F,66.1,81.4
25-26-prem-leeds-united-vs-everton,home,365,Nmecha,14,F,66.8,42.9
25-26-prem-leeds-united-vs-everton,home,342,Bogle,54,D,48.3,11.4
25-26-prem-leeds-united-vs-everton,home,,L. Perri,46,G,12.0,52.1
25-26-prem-leeds-united-vs-everton,home,343,Struijk,91,D,39.6,68.7
25-26-prem-leeds-united-vs-everton,home,351,Gnonto,66,F,63.1,82.2
25-26-prem-leeds-united-vs-everton,home,660,Stach,94,M,57.4,70.5
25-26-prem-leeds-united-vs-everton,home,354,Ampadu,82,M,48.3,51.4
25-26-prem-leeds-united-vs-everton,home,348,Rodon,74,D,35.4,34.7
25-26-prem-leeds-united-vs-everton,home,347,Gudmundsson,92,D,56.1,87.5
25-26-prem-leeds-united-vs-everton,home,,A. Tanaka,71,M,58.7,51
25-26-prem-leeds-united-vs-everton,away,310,Barry,6,F,73.3,50.6
25-26-prem-leeds-united-vs-everton,away,419,Grealish,20,M,55.1,86.3
25-26-prem-leeds-united-vs-everton,away,299,Ndiaye,43,M,51.3,66.3
25-26-prem-leeds-united-vs-everton,away,,Beto,39,F,53.9,53.7
25-26-prem-leeds-united-vs-everton,away,304,Iroegbunam,38,M,46.8,49.4
25-26-prem-leeds-united-vs-everton,away,242,Dewsbury-Hall,50,M,54.9,50.3
25-26-prem-leeds-united-vs-everton,away,293,O'Brien,73,D,41.9,15.7
25-26-prem-leeds-united-vs-everton,away,287,Pickford,74,G,11.3,53.0
25-26-prem-leeds-united-vs-everton,away,,C. Alcaraz,55,M,53.3,32.0
25-26-prem-leeds-united-vs-everton,away,302,Gana,62,M,45.9,55.2
25-26-prem-leeds-united-vs-everton,away,291,Tarkowski,95,D,33.6,30.2
25-26-prem-leeds-united-vs-everton,away,295,Keane,80,D,29.2,66.7
25-26-prem-leeds-united-vs-everton,away,303,Garner,81,M,39.4,83.5
25-26-prem-liverpool-vs-afc-bournemouth,home,,W. Endo,24,M,46.9,45.9
25-26-prem-liverpool-vs-afc-bournemouth,home,388,C.Jones,17,M,49.9,69.8
25-26-prem-liverpool-vs-afc-bournemouth,home,387,Szoboszlai,110,M,49.9,39.4
25-26-prem-liverpool-vs-afc-bournemouth,home,376,Gomez,16,D,51.4,13.7
25-26-prem-liverpool-vs-afc-bournemouth,home,385,Chiesa,8,F,69.7,55.9
25-26-prem-liverpool-vs-afc-bournemouth,home,,A. Robertson,21,D,46.4,79.4
25-26-prem-liverpool-vs-afc-bournemouth,home,661,Ekitiké,40,F,60.9,61.2
25-26-prem-liverpool-vs-afc-bournemouth,home,373,Virgil,120,D,32.2,62.7
25-26-prem-liverpool-vs-afc-bournemouth,home,371,Kerkez,62,D,38.7,87.9
25-26-prem-liverpool-vs-afc-bournemouth,home,374,Konaté,57,D,31.2,33.3
25-26-prem-liverpool-vs-afc-bournemouth,home,,Alisson,52,G,14.1,46.0
25-26-prem-liverpool-vs-afc-bournemouth,home,370,Frimpong,31,D,45.3,16.2
25-26-prem-liverpool-vs-afc-bournemouth,home,386,Mac Allister,70,M,47.6,54.1
25-26-prem-liverpool-vs-afc-bournemouth,home,381,M.Salah,63,M,66.1,24.2
25-26-prem-liverpool-vs-afc-bournemouth,home,384,Gakpo,79,M,55.6,78.1
25-26-prem-liverpool-vs-afc-bournemouth,home,382,Wirtz,84,M,61.1,53.9
25-26-prem-liverpool-vs-afc-bournemouth,away,,E. J. Kroupi,3,F,78.1,80.5
25-26-prem-liverpool-vs-afc-bournemouth,away,,Evanilson,36,F,59.1,47.4
25-26-prem-liverpool-vs-afc-bournemouth,away,86,Brooks,45,M,68.7,70.7
25-26-prem-liverpool-vs-afc-bournemouth,away,96,Winterburn,3,M,44.4,36.3
25-26-prem-liverpool-vs-afc-bournemouth,away,77,Hill,6,D,33.3,5.6
25-26-prem-liverpool-vs-afc-bournemouth,away,,H. J. Traorè,13,M,34.4,68.4
25-26-prem-liverpool-vs-afc-bournemouth,away,74,Truffert,54,D,44.6,82.3
25-26-prem-liverpool-vs-afc-bournemouth,away,82,Semenyo,57,M,61.4,19.3
25-26-prem-liverpool-vs-afc-bournemouth,away,73,Smith,66,D,45.0,19.4
25-26-prem-liverpool-vs-afc-bournemouth,away,85,Adams,72,M,38.8,46.6
25-26-prem-liverpool-vs-afc-bournemouth,away,90,Scott,42,M,53.1,40.3
25-26-prem-liverpool-vs-afc-bournemouth,away,67,Petrović,66,G,10.6,48.9
25-26-prem-liverpool-vs-afc-bournemouth,away,685,Diakité,75,D,33.1,26.0
25-26-prem-liverpool-vs-afc-bournemouth,away,84,Tavernier,79,M,52.8,60.5
25-26-prem-liverpool-vs-afc-bournemouth,away,,M. Senesi,62,D,37.3,63.5
25-26-prem-manchester-united-vs-arsenal,home,681,Šeško,11,F,65.9,45.4
25-26-prem-manchester-united-vs-arsenal,home,442,Maguire,12,D,39.1,61.5
25-26-prem-manchester-united-vs-arsenal,home,,M. Ugarte,26,M,53.8,45.8
25-26-prem-manchester-united-vs-arsenal,home,452,Amad,30,F,66.2,17.2
25-26-prem-manchester-united-vs-arsenal,home,441,Dorgu,76,M,55.9,81.3
25-26-prem-manchester-united-vs-arsenal,home,455,Mount,38,F,58.2,73.4
25-26-prem-manchester-united-vs-arsenal,home,,D. Dalot,27,D,44.4,11.8
25-26-prem-manchester-united-vs-arsenal,home,119,Mbeumo,65,F,65.9,26.1
25-26-prem-manchester-united-vs-arsenal,home,,M. Cunha,45,F,68.8,50.9
25-26-prem-manchester-united-vs-arsenal,home,436,De Ligt,95,D,36.9,44.2
25-26-prem-manchester-united-vs-arsenal,home,,Casemiro,46,M,42.6,44.6
25-26-prem-manchester-united-vs-arsenal,home,443,Shaw,75,D,39.0,80.6
25-26-prem-manchester-united-vs-arsenal,home,,B. Fernandes,93,M,51.8,51.7
25-26-prem-manchester-united-vs-arsenal,home,431,Bayindir,69,G,9.6,47.1
25-26-prem-manchester-united-vs-arsenal,home,444,Yoro,97,D,33.1,30.9
25-26-prem-manchester-united-vs-arsenal,away,666,Gyökeres,32,F,68.9,46.4
25-26-prem-manchester-united-vs-arsenal,away,,M. Merino,10,M,37.0,72.9
25-26-prem-manchester-united-vs-arsenal,away,,G. Magalhaes,49,D,34.2,64.7
