id,first_name,second_name,web_name,status,news,news_added,now_cost,now_cost_rank,now_cost_rank_type,selected_by_percent,selected_rank,selected_rank_type,form,form_rank,form_rank_type,event_points,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,transfers_in_event,transfers_out_event,value_form,value_season,ep_next,ep_this,points_per_game,points_per_game_rank,points_per_game_rank_type,chance_of_playing_next_round,chance_of_playing_this_round,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,direct_freekicks_order,penalties_order,set_piece_threat,corners_and_indirect_freekicks_text,direct_freekicks_text,penalties_text,expected_goals_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,saves_per_90,clean_sheets_per_90,goals_conceded_per_90,starts_per_90,defensive_contribution_per_90,gw,total_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,starts,bonus,bps,transfers_in,transfers_out,dreamteam_count,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,influence,creativity,threat,ict_index,tackles,clearances_blocks_interceptions,recoveries,defensive_contribution
257,Maxence,Lacroix,Lacroix,a,,,5.2,212,30.0,8.2,51,16.0,3.4,96.0,34.0,1,0,0.0,2,-2.0,2820,10694,0.7,28.7,3.4,6.3,4.5,30.0,11.0,100.0,100.0,26.0,9.0,288.0,88.0,101.0,12.0,92.0,22.0,,,,,,,,0.07,0.02,0.09,1.28,0.0,0.34,1.32,1.01,10.7,36,1.0,90.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,76163.0,12825.0,0.0,0.08000000000000007,0.020000000000000018,0.10000000000000009,1.5899999999999963,26.399999999999977,11.800000000000011,23.0,6.099999999999994,1.0,7.0,2.0,8.0
258,Tyrick,Mitchell,Mitchell,a,,,5.0,254,39.0,2.4,127,50.0,2.4,164.0,60.0,4,0,0.0,0,0.0,971,1756,0.5,26.2,2.4,4.3,3.7,98.0,37.0,,,67.0,32.0,61.0,10.0,163.0,36.0,80.0,15.0,,,,,,,,0.04,0.07,0.11,1.34,0.0,0.36,1.22,1.01,6.66,36,4.0,90.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,18.0,6394.0,2720.0,0.0,0.1299999999999999,0.050000000000000266,0.18000000000000016,1.5899999999999963,22.800000000000068,17.80000000000001,11.0,5.200000000000003,2.0,6.0,11.0,8.0
259,Borna,Sosa,Sosa,d,Knock - 50% chance of playing,,4.8,355,59.0,0.1,452,169.0,0.0,726.0,255.0,0,0,0.0,-2,2.0,4,104,0.0,1.2,0.0,-0.2,0.9,523.0,178.0,50.0,50.0,469.0,171.0,402.0,145.0,430.0,163.0,465.0,167.0,,,,,,,,0.04,0.06,0.1,0.82,0.0,0.0,1.82,0.0,8.18,36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,158.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
263,Nathaniel,Clyne,Clyne,a,,,3.8,801,236.0,0.5,273,104.0,0.0,400.0,141.0,0,0,0.0,-2,2.0,88,167,0.0,3.9,0.0,-0.5,1.9,350.0,128.0,100.0,100.0,401.0,150.0,357.0,127.0,367.0,122.0,400.0,142.0,,,,,,,,0.08,0.11,0.19,1.33,0.0,0.0,1.64,1.09,7.11,36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,240.0,395.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
289,Harry,Tyrer,Tyrer,u,has joined Cardiff City permanently.,,3.9,775,82.0,0.1,507,74.0,0.0,436.0,41.0,0,0,0.0,-1,1.0,0,19,0.0,0.0,0.0,0.0,0.0,566.0,53.0,0.0,0.0,554.0,53.0,541.0,36.0,509.0,22.0,556.0,53.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
306,Callum,Bates,Bates,a,,,4.3,616,365.0,0.1,498,180.0,0.0,573.0,191.0,0,0,0.0,-2,2.0,51,53,0.0,0.0,0.0,0.0,0.0,670.0,253.0,,,659.0,243.0,656.0,248.0,633.0,237.0,661.0,245.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.0,105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
675,Angus,Gunn,Gunn,a,,,4.0,675,43.0,1.1,187,22.0,0.0,462.0,55.0,0,0,0.0,0,0.0,32,128,0.0,0.2,-0.5,0.0,1.0,467.0,39.0,100.0,100.0,509.0,39.0,567.0,53.0,536.0,39.0,516.0,39.0,,,,,,,,0.0,0.0,0.0,0.42,0.0,0.0,0.0,0.0,0.0,36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,237.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
637,Toti,Gomes,Toti,a,,,4.2,647,149.0,0.1,509,180.0,3.0,117.0,44.0,3,0,0.0,-3,3.0,39,59,0.7,9.5,2.5,2.0,2.2,312.0,115.0,100.0,100.0,201.0,83.0,299.0,96.0,313.0,96.0,289.0,93.0,,,,,,,,0.03,0.02,0.05,1.61,0.0,0.06,2.12,1.09,9.14,36,3.0,90.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,106.0,171.0,0.0,0.0,0.0,0.0,1.620000000000001,23.399999999999977,0.19999999999998863,2.0,2.5999999999999943,1.0,10.0,1.0,11.0
656,Saša,Kalajdžić,Kalajdžić,u,has joined LASK on loan for the rest of the season.,,4.9,317,59.0,0.0,594,81.0,0.0,745.0,79.0,0,0,0.0,-1,1.0,0,0,0.0,0.2,0.0,0.0,1.0,504.0,61.0,0.0,0.0,512.0,62.0,458.0,58.0,459.0,62.0,501.0,62.0,,,,,,,,0.0,0.06,0.06,0.64,0.0,0.0,0.0,0.0,12.86,36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
657,Leon,Chiwome,Chiwome,a,,,4.4,573,82.0,0.0,622,84.0,0.0,612.0,68.0,0,0,0.0,-1,1.0,36,52,0.0,0.0,-0.5,-1.0,0.0,698.0,76.0,100.0,100.0,691.0,75.0,687.0,74.0,668.0,74.0,693.0,75.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
780,Ben,Casey,Casey,a,,,4.5,513,73.0,0.0,648,85.0,0.0,703.0,76.0,0,0,0.0,0,0.0,34,25,0.0,0.0,0.0,-0.5,0.0,771.0,84.0,,,770.0,84.0,764.0,83.0,750.0,83.0,770.0,84.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
361,Darko,Gyabi,Gyabi,u,has joined Hull City permanently.,,4.5,442,264.0,0.0,675,271.0,0.0,642.0,233.0,0,0,0.0,0,0.0,0,3,0.0,0.0,0.0,0.0,0.0,721.0,286.0,0.0,0.0,714.0,280.0,711.0,283.0,694.0,276.0,716.0,282.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
440,Diogo,Dalot Teixeira,Dalot,a,,,4.5,422,82.0,4.0,92,30.0,2.4,162.0,59.0,0,0,0.0,0,0.0,1467,6854,0.5,24.4,2.9,2.9,3.3,148.0,55.0,100.0,100.0,112.0,50.0,68.0,14.0,174.0,42.0,98.0,25.0,,,,,,,,0.06,0.09,0.15,1.24,0.0,0.25,1.36,1.0,6.18,36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4318.0,11878.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
469,Nick,Pope,Pope,a,,,5.0,243,9.0,4.2,90,16.0,2.0,188.0,15.0,3,0,0.0,0,0.0,1968,759,0.4,18.0,2.0,2.0,3.6,109.0,14.0,100.0,100.0,72.0,15.0,799.0,95.0,364.0,1.0,249.0,14.0,,,,,,,,0.01,0.0,0.01,1.21,3.14,0.28,1.41,1.01,0.0,36,3.0,90.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,17.0,2678.0,2173.0,0.0,0.0,0.0,0.0,1.0999999999999979,39.799999999999955,0.0,0.0,4.0,0.0,0.0,4.0,0.0
