id,status,chance_of_playing_next_round,chance_of_playing_this_round,now_cost,now_cost_rank,now_cost_rank_type,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,selected_by_percent,selected_rank,selected_rank_type,total_points,event_points,points_per_game,points_per_game_rank,points_per_game_rank_type,bonus,bps,form,form_rank,form_rank_type,value_form,value_season,dreamteam_count,transfers_in,transfers_in_event,transfers_out,transfers_out_event,ep_next,ep_this,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,expected_goals_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,influence,influence_rank,influence_rank_type,creativity,creativity_rank,creativity_rank_type,threat,threat_rank,threat_rank_type,ict_index,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,direct_freekicks_order,penalties_order,gw,set_piece_threat,first_name,second_name,web_name,news,news_added,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,starts,defensive_contribution,corners_and_indirect_freekicks_text,direct_freekicks_text,penalties_text,saves_per_90,clean_sheets_per_90,goals_conceded_per_90,starts_per_90,defensive_contribution_per_90,tackles,clearances_blocks_interceptions,recoveries
209,a,100.0,100.0,4.8,348,218.0,0,0.0,-2,2.0,0.0,622,240.0,53,3,1.8,374.0,159.0,1,228,1.0,239.0,112.0,0.2,11.0,0.0,6234,8,7121,31,0.0,0.5,0.85,0.48,1.33,38.16,0.05,0.03,0.08,2.06,287.2,223.0,94.0,183.8,196.0,128.0,108.0,260.0,141.0,57.2,251.0,123.0,,,,33,,Josh,Laurent,Laurent,,,1669,1,0,2,39,0,0,0,6,1,0,17,177,,,,0.0,0.11,2.1,0.92,9.54,44,72,61
512,u,0.0,0.0,4.5,422,83.0,0,0.0,0,0.0,0.0,694,246.0,0,0,0.0,699.0,258.0,0,0,0.0,591.0,238.0,0.0,0.0,0.0,345,0,4134,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,693.0,258.0,0.0,688.0,258.0,0.0,669.0,257.0,0.0,695.0,258.0,,,,33,,Omar,Richards,O.Richards,has joined Rio Ave on loan for the rest of the season.,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0,0,0
535,a,100.0,100.0,4.0,686,172.0,0,0.0,0,0.0,0.0,592,211.0,14,0,2.0,339.0,124.0,0,44,0.0,431.0,162.0,0.0,3.5,0.0,7618,42,7309,42,0.0,0.0,0.08,0.02,0.09,6.04,0.02,0.01,0.03,1.81,58.2,413.0,155.0,8.9,438.0,155.0,8.0,423.0,159.0,7.1,440.0,159.0,,,,33,,Dennis,Cirkin,Cirkin,,,301,0,0,1,2,0,0,0,1,0,0,3,26,,,,0.0,0.3,0.6,0.9,7.77,8,18,8
713,a,,,4.5,467,94.0,0,0.0,0,0.0,0.3,350,127.0,68,2,2.3,300.0,111.0,2,272,1.3,223.0,73.0,0.3,15.1,0.0,65798,209,36316,1610,0.0,2.6,1.07,1.61,2.68,40.22,0.04,0.07,0.11,1.63,392.8,157.0,70.0,250.3,153.0,39.0,180.0,175.0,40.0,82.3,162.0,56.0,,,,33,,Álex,Jiménez Sánchez,A.Jimenez,,,2225,1,2,5,39,0,0,0,10,0,0,25,159,,,,0.0,0.2,1.58,1.01,5.82,65,79,128
756,a,,,4.5,518,323.0,0,0.0,0,0.0,0.0,743,313.0,0,0,0.0,765.0,327.0,0,0,0.0,677.0,269.0,0.0,0.0,0.0,1934,22,1315,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,764.0,326.0,0.0,757.0,326.0,0.0,745.0,323.0,0.0,764.0,326.0,,,,33,,Malcom,DaCosta,DaCosta,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0,0,0
806,a,,,4.0,682,49.0,0,0.0,0,0.0,0.0,757,88.0,0,0,0.0,592.0,71.0,0,0,0.0,427.0,60.0,0.0,0.0,0.0,761,7,445,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,581.0,71.0,0.0,573.0,59.0,0.0,542.0,45.0,0.0,583.0,71.0,,,,33,,Christos,Mandas,Mandas,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0,0,0
807,a,,,5.5,149,94.0,0,0.0,0,0.0,1.6,154,53.0,45,11,4.1,56.0,25.0,2,169,4.3,71.0,22.0,0.8,8.2,0.0,436703,531,208294,16282,0.0,8.6,1.63,1.55,3.18,15.42,0.19,0.18,0.37,1.75,194.6,292.0,125.0,175.0,203.0,133.0,171.0,186.0,103.0,54.1,265.0,133.0,,,,33,,Rayan Vitor,Simplício Rocha,Rayan,,,792,3,2,3,9,0,0,0,1,0,0,9,51,,,,0.0,0.34,1.02,1.02,5.8,8,14,29
738,a,100.0,100.0,4.5,408,21.0,0,0.0,0,0.0,0.0,627,80.0,0,0,0.0,693.0,93.0,0,0,0.0,583.0,87.0,0.0,0.0,0.0,6330,200,5982,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,687.0,93.0,0.0,682.0,86.0,0.0,663.0,76.0,0.0,689.0,93.0,,,,33,,Lukasz,Fabianski,Fabianski,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0,0,0
637,a,100.0,100.0,4.2,642,149.0,0,0.0,-3,3.0,0.1,514,184.0,31,3,2.1,322.0,118.0,0,108,1.5,197.0,68.0,0.4,7.4,0.0,7995,145,20077,32,1.0,1.0,0.22,0.21,0.43,21.81,0.02,0.02,0.04,1.74,271.6,238.0,94.0,78.5,312.0,102.0,36.0,355.0,117.0,38.7,317.0,107.0,,,,33,,Toti,Gomes,Toti,,,1129,0,0,1,28,0,0,0,1,1,0,14,136,,,,0.0,0.08,2.23,1.12,9.09,18,96,43
816,d,75.0,100.0,4.7,384,239.0,0,0.0,-3,3.0,0.0,726,300.0,12,1,1.3,435.0,193.0,0,62,1.5,200.0,92.0,0.3,2.6,0.0,4770,12,3471,94,0.8,1.0,0.21,0.24,0.45,11.49,0.05,0.06,0.11,2.73,42.4,426.0,185.0,66.9,326.0,178.0,23.0,383.0,193.0,13.2,409.0,186.0,,,,33,,Angel,Gomes,Angel,Foot injury - 75% chance of playing,,379,0,0,1,7,0,0,0,1,0,0,6,27,,,,0.0,0.24,1.66,1.42,6.41,8,5,14
