id,status,chance_of_playing_next_round,chance_of_playing_this_round,now_cost,now_cost_rank,now_cost_rank_type,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,selected_by_percent,selected_rank,selected_rank_type,total_points,event_points,points_per_game,points_per_game_rank,points_per_game_rank_type,bonus,bps,form,form_rank,form_rank_type,value_form,value_season,dreamteam_count,transfers_in,transfers_in_event,transfers_out,transfers_out_event,ep_next,ep_this,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,expected_goals_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,influence,influence_rank,influence_rank_type,creativity,creativity_rank,creativity_rank_type,threat,threat_rank,threat_rank_type,ict_index,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,direct_freekicks_order,penalties_order,gw,set_piece_threat,first_name,second_name,web_name,news,news_added,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,starts,defensive_contribution,corners_and_indirect_freekicks_text,direct_freekicks_text,penalties_text,saves_per_90,clean_sheets_per_90,goals_conceded_per_90,starts_per_90,defensive_contribution_per_90,tackles,clearances_blocks_interceptions,recoveries
340,a,,,3.9,748,72.0,0,0.0,-1,1.0,0.1,414,61.0,0,0,0.0,548.0,44.0,0,0,0.0,424.0,36.0,0.0,0.0,0.0,8571,5,15272,18,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,537.0,44.0,0.0,523.0,26.0,0.0,492.0,13.0,0.0,539.0,44.0,,,,31,,Alex,Cairns,Cairns,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0,0,0
341,a,,,3.9,743,67.0,0,0.0,-1,1.0,2.6,120,17.0,42,6,2.8,217.0,24.0,0,200,3.8,68.0,6.0,1.0,10.8,0.0,263204,1001,279865,393,3.3,3.8,0.0,0.04,0.04,17.52,0.0,0.0,0.0,1.17,314.8,188.0,21.0,0.0,518.0,21.0,0.0,487.0,8.0,31.7,334.0,21.0,,,,31,,Karl,Darlow,Darlow,,,1350,0,0,3,19,0,0,0,1,0,36,15,59,,,,2.4,0.2,1.27,1.0,0.0,0,19,142
467,a,,,4.2,648,90.0,0,0.0,-3,3.0,1.5,161,24.0,0,0,0.0,645.0,64.0,0,0,0.0,539.0,51.0,0.0,0.0,0.0,272979,54,375772,340,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,636.0,64.0,0.0,630.0,63.0,0.0,604.0,63.0,0.0,638.0,64.0,,,,31,,Chido,Obi,Obi,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0,0,0
674,a,,,4.8,360,14.0,0,0.0,-2,2.0,0.8,207,26.0,21,0,2.3,301.0,28.0,1,83,2.0,186.0,16.0,0.4,4.4,0.0,135004,570,155756,274,2.0,2.0,0.0,0.0,0.0,10.83,0.0,0.0,0.0,1.33,143.2,321.0,25.0,10.0,431.0,12.0,0.0,756.0,85.0,15.3,395.0,25.0,,,,31,,Aaron,Ramsdale,Ramsdale,,,733,0,0,1,11,0,0,0,1,0,17,8,0,,,,2.09,0.12,1.35,0.98,0.0,0,7,63
684,a,,,5.1,237,36.0,0,0.0,1,-1.0,8.2,42,14.0,114,0,4.2,50.0,21.0,12,364,3.4,92.0,35.0,0.7,22.4,0.0,1829564,8983,803040,2706,3.4,3.4,3.74,0.88,4.62,35.52,0.15,0.03,0.18,1.39,718.4,15.0,5.0,103.7,269.0,79.0,350.0,68.0,5.0,116.9,66.0,11.0,,,,31,,Malick,Thiaw,Thiaw,,,2297,4,0,5,40,0,0,0,3,0,0,26,264,,,,0.0,0.2,1.57,1.02,9.25,29,207,95
689,a,,,4.3,623,367.0,0,0.0,-2,2.0,0.5,256,88.0,0,0,0.0,666.0,256.0,0,0,0.0,573.0,198.0,0.0,0.0,0.0,94263,226,58949,275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,656.0,246.0,0.0,652.0,251.0,0.0,629.0,240.0,0.0,658.0,248.0,,,,31,,Seung-Soo,Park,Seung soo,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0,0,0
605,a,,,4.1,653,157.0,0,0.0,-4,4.0,0.1,424,158.0,36,0,1.7,385.0,143.0,0,80,0.0,524.0,219.0,0.0,8.8,0.0,30270,14,50862,18,0.5,0.0,0.56,0.25,0.81,33.28,0.03,0.01,0.04,1.92,392.4,137.0,61.0,55.8,336.0,115.0,60.0,318.0,99.0,50.9,259.0,84.0,,,,31,,Maximilian,Kilman,Kilman,,,1559,0,0,1,37,0,0,0,4,0,0,17,191,,,,0.0,0.06,2.14,0.98,9.24,16,144,43
174,u,0.0,0.0,5.0,282,175.0,0,0.0,0,0.0,0.0,777,337.0,0,0,0.0,799.0,353.0,0,0,0.0,762.0,329.0,0.0,0.0,0.0,0,0,1266,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,798.0,352.0,0.0,796.0,352.0,0.0,792.0,350.0,0.0,798.0,352.0,,,,31,,Malick,Yalcouyé,Yalcouye,Has joined Swansea City on loan for the rest of the season.,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0,0,0
175,u,0.0,0.0,4.4,561,337.0,0,0.0,-1,1.0,0.1,537,196.0,1,0,1.0,473.0,209.0,0,3,0.0,602.0,214.0,0.0,0.2,0.0,11030,0,15159,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,677.0,259.0,0.0,673.0,263.0,0.0,653.0,254.0,0.0,679.0,261.0,,,,31,,Joe,Knight,Knight,has joined Stevenage permanently.,,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0,0,0
176,u,0.0,0.0,4.5,462,281.0,0,0.0,0,0.0,0.0,690,281.0,0,0,0.0,723.0,296.0,0,0,0.0,650.0,248.0,0.0,0.0,0.0,1435,0,4602,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,718.0,291.0,0.0,714.0,293.0,0.0,698.0,286.0,0.0,719.0,292.0,,,,31,,Adrian,Mazilu,Mazilu,has joined Dinamo Bucharest permanently.,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0,0,0
