match_id,minute,value
25-26-prem-brighton-hove-albion-vs-leeds-united,1,4
25-26-prem-brighton-hove-albion-vs-leeds-united,2,6
25-26-prem-brighton-hove-albion-vs-leeds-united,3,26
25-26-prem-brighton-hove-albion-vs-leeds-united,4,18
25-26-prem-brighton-hove-albion-vs-leeds-united,5,13
25-26-prem-brighton-hove-albion-vs-leeds-united,6,9
25-26-prem-brighton-hove-albion-vs-leeds-united,7,7
25-26-prem-brighton-hove-albion-vs-leeds-united,8,5
25-26-prem-brighton-hove-albion-vs-leeds-united,9,57
25-26-prem-brighton-hove-albion-vs-leeds-united,10,39
25-26-prem-brighton-hove-albion-vs-leeds-united,11,35
25-26-prem-brighton-hove-albion-vs-leeds-united,12,43
25-26-prem-brighton-hove-albion-vs-leeds-united,13,27
25-26-prem-brighton-hove-albion-vs-leeds-united,14,31
25-26-prem-brighton-hove-albion-vs-leeds-united,15,62
25-26-prem-brighton-hove-albion-vs-leeds-united,16,63
25-26-prem-brighton-hove-albion-vs-leeds-united,17,32
25-26-prem-brighton-hove-albion-vs-leeds-united,18,15
25-26-prem-brighton-hove-albion-vs-leeds-united,19,-9
25-26-prem-brighton-hove-albion-vs-leeds-united,20,-19
25-26-prem-brighton-hove-albion-vs-leeds-united,21,-33
25-26-prem-brighton-hove-albion-vs-leeds-united,22,-29
25-26-prem-brighton-hove-albion-vs-leeds-united,23,-47
25-26-prem-brighton-hove-albion-vs-leeds-united,24,-35
25-26-prem-brighton-hove-albion-vs-leeds-united,25,-27
25-26-prem-brighton-hove-albion-vs-leeds-united,26,-22
25-26-prem-brighton-hove-albion-vs-leeds-united,27,-20
25-26-prem-brighton-hove-albion-vs-leeds-united,28,-17
25-26-prem-brighton-hove-albion-vs-leeds-united,29,-17
25-26-prem-brighton-hove-albion-vs-leeds-united,30,-51
25-26-prem-brighton-hove-albion-vs-leeds-united,31,-44
25-26-prem-brighton-hove-albion-vs-leeds-united,32,-19
25-26-prem-brighton-hove-albion-vs-leeds-united,33,-4
25-26-prem-brighton-hove-albion-vs-leeds-united,34,55
25-26-prem-brighton-hove-albion-vs-leeds-united,35,31
25-26-prem-brighton-hove-albion-vs-leeds-united,36,16
25-26-prem-brighton-hove-albion-vs-leeds-united,37,5
25-26-prem-brighton-hove-albion-vs-leeds-united,38,2
25-26-prem-brighton-hove-albion-vs-leeds-united,39,-8
25-26-prem-brighton-hove-albion-vs-leeds-united,40,-13
25-26-prem-brighton-hove-albion-vs-leeds-united,41,22
25-26-prem-brighton-hove-albion-vs-leeds-united,42,10
25-26-prem-brighton-hove-albion-vs-leeds-united,43,11
25-26-prem-brighton-hove-albion-vs-leeds-united,44,5
25-26-prem-brighton-hove-albion-vs-leeds-united,45,-35
25-26-prem-brighton-hove-albion-vs-leeds-united,45.5,-15
25-26-prem-brighton-hove-albion-vs-leeds-united,46,5
25-26-prem-brighton-hove-albion-vs-leeds-united,47,52
25-26-prem-brighton-hove-albion-vs-leeds-united,48,28
25-26-prem-brighton-hove-albion-vs-leeds-united,49,41
25-26-prem-brighton-hove-albion-vs-leeds-united,50,36
25-26-prem-brighton-hove-albion-vs-leeds-united,51,43
25-26-prem-brighton-hove-albion-vs-leeds-united,52,44
25-26-prem-brighton-hove-albion-vs-leeds-united,53,30
25-26-prem-brighton-hove-albion-vs-leeds-united,54,21
25-26-prem-brighton-hove-albion-vs-leeds-united,55,15
