player_id,gameweek,position,team_code,points_roll3,points_roll5,xg_roll3,xg_roll5,xa_roll3,xa_roll5,bps_roll3,bps_roll5,ict_roll3,ict_roll5,minutes_roll3,minutes_roll5,defcon_roll3,defcon_roll5,points_std5,team_xg_for_roll5,team_xg_against_roll5,team_elo,opp_xg_against_roll5,opp_elo,has_double_gw,ppm_roll5,start_rate_roll5,gkp_saves_roll3,def_clean_sheet_roll5,def_attacking_return_rate,mid_creativity_roll3,mid_threat_roll3,mid_shots_on_target_roll3,mid_touches_box_roll3,fwd_xg_roll3,fwd_shots_on_target_roll3,fwd_touches_box_roll3,is_penalty_taker,is_corner_freekick_taker,is_direct_freekick_taker
1,11,GKP,3,6,5.2,0,0,0.00333333,0.004,22,19.4,0.766667,0.84,90,90,9.66667,9.8,1.78885,2.004,0.482,2046.11,1.226,1642.51,False,0.881356,1,0.333333,,,,,,,,,,0,0,0
2,11,GKP,3,0,0,,,,,0,0,0,0,0,0,0,0,0,2.004,0.482,2046.11,1.226,1642.51,False,0,0,0,,,,,,,,,,0,0,0
3,11,GKP,3,0,0,,,,,0,0,0,0,0,0,0,0,0,2.004,0.482,2046.11,1.226,1642.51,False,0,0,0,,,,,,,,,,0,0,0
4,11,GKP,3,0,0,,,,,0,0,0,0,0,0,0,0,0,2.004,0.482,2046.11,1.226,1642.51,False,0,0,0,,,,,,,,,,0,0,0
5,11,DEF,3,11,11,0.113333,0.112,0.216667,0.14,34.6667,34.2,5.26667,5.98,90,90,10.3333,12.8,1.87083,2.004,0.482,2046.11,1.226,1642.51,False,1.69231,1,,0.8,0.6,,,,,,,,0,0,0
6,11,DEF,3,4.33333,4,0,0,0.0833333,0.068,21.6667,20.6,1.86667,2.1,75,72,7.33333,7.2,2.73861,2.004,0.482,2046.11,1.226,1642.51,False,0.666667,0.8,,0.6,0,,,,,,,,0,0,0
7,11,DEF,3,6,5,0.05,0.084,0.0166667,0.022,28.3333,22.2,2.53333,2.78,80.6667,77,9.33333,9,2.23607,2.004,0.482,2046.11,1.226,1642.51,False,0.862069,1,,0.8,0,,,,,,,,0,0,0
8,11,DEF,3,6,6.2,0.0633333,0.176,0.06,0.084,24,25,3.66667,5.28,90,90,8,9.2,3.19374,2.004,0.482,2046.11,1.226,1642.51,False,1,1,,0.8,0.2,,,,,,,,0,0,0
9,11,DEF,3,0,0,,,,,0,0,0,0,0,0,0,0,0,2.004,0.482,2046.11,1.226,1642.51,False,0,0,,0,0,,,,,,,,0,0,0
10,11,DEF,3,0.666667,0.8,0,0,0,0,2,2,0.1,0.22,1,4,0.666667,1.2,0.447214,2.004,0.482,2046.11,1.226,1642.51,False,0.156863,0,,0,0,,,,,,,,0,0,0
11,11,DEF,3,0,0,,,,,0,0,0,0,0,0,0,0,0,2.004,0.482,2046.11,1.226,1642.51,False,0,0,,0,0,,,,,,,,0,0,0
12,11,DEF,17,0.333333,0.6,0,0,0.13,0.115,4.66667,5.4,1.1,1.34,24.3333,32.6,3.66667,3.6,0.894427,1.326,1.696,1755.38,1.104,1730.14,False,0.122449,0.4,,0,0,,,,,,,,0,0,0
13,11,DEF,3,0,0,,,,,0,0,0,0,0,0,0,0,0,2.004,0.482,2046.11,1.226,1642.51,False,0,0,,0,0,,,,,,,,0,0,0
14,11,DEF,3,0,0,,,,,0,0,0,0,0,0,0,0,0,2.004,0.482,2046.11,1.226,1642.51,False,0,0,,0,0,,,,,,,,0,0,0
15,11,DEF,3,0,0,,,,,0,0,0,0,0,0,0,0,0,2.004,0.482,2046.11,1.226,1642.51,False,0,0,,0,0,,,,,,,,0,0,0
16,11,MID,3,4.33333,4.6,0.223333,0.318,0.206667,0.348,13,14.2,7.9,7.52,81.6667,80.8,7,6.6,2.70185,2.004,0.482,2046.11,1.226,1642.51,False,0.455446,1,,,,35.5,29,1,6.33333,,,,1,1,0
17,11,MID,3,0,1,,0,,0.23,0,4,0,1.1,0,7.4,0,0.4,1.73205,2.004,0.482,2046.11,1.226,1642.51,False,0.128205,0.2,,,,0,0,,,,,,0,0,0
18,11,MID,3,0,0,,,,,0,0,0,0,0,0,0,0,0,2.004,0.482,2046.11,1.226,1642.51,False,0,0,,,,0,0,,,,,,0,0,0
19,11,MID,3,0.666667,0.8,0.26,0.1425,0,0.0175,1.66667,2.6,1.6,1.46,11,12.8,1,1.6,0.447214,2.004,0.482,2046.11,1.226,1642.51,False,0.117647,0,,,,0.266667,14.3333,0.5,2.5,,,,0,0,0
20,11,MID,3,6.33333,4.8,0.363333,0.308,0.09,0.096,18.3333,15.2,7.63333,6.38,86.6667,84.2,5.33333,4.4,3.27109,2.004,0.482,2046.11,1.226,1642.51,False,0.695652,1,,,,18.3,35.3333,1.33333,6,,,,0,0,0
21,11,MID,3,7.66667,8.6,0.16,0.16,0.273333,0.228,28,32.4,7.7,8.9,87,85.8,11.6667,10.4,3.84708,2.004,0.482,2046.11,1.226,1642.51,False,1.24638,1,,,,29.6,15.6667,0.666667,2.66667,,,,0,0,1
22,11,MID,3,1,2,0,0.042,0.02,0.012,4.33333,7.2,1,1.92,27,22.4,3.66667,2.8,2.23607,2.004,0.482,2046.11,1.226,1642.51,False,0.338983,0,,,,4.73333,1.33333,0,0.666667,,,,0,0,0
23,11,MID,3,0,0,,,,,0,0,0,0,0,0,0,0,0,2.004,0.482,2046.11,1.226,1642.51,False,0,0,,,,0,0,,,,,,0,0,0
24,11,MID,3,0.666667,0.4,0.025,0.025,0,0,2.33333,1.4,0.466667,0.28,4.66667,2.8,1.33333,0.8,0.547723,2.004,0.482,2046.11,1.226,1642.51,False,0.0769231,0,,,,0.0333333,2.33333,0.5,0,,,,0,0,0
