id,first_name,second_name,web_name,status,news,news_added,now_cost,now_cost_rank,now_cost_rank_type,selected_by_percent,selected_rank,selected_rank_type,form,form_rank,form_rank_type,event_points,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,transfers_in_event,transfers_out_event,value_form,value_season,ep_next,ep_this,points_per_game,points_per_game_rank,points_per_game_rank_type,chance_of_playing_next_round,chance_of_playing_this_round,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,direct_freekicks_order,penalties_order,set_piece_threat,corners_and_indirect_freekicks_text,direct_freekicks_text,penalties_text,expected_goals_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,saves_per_90,clean_sheets_per_90,goals_conceded_per_90,starts_per_90,defensive_contribution_per_90,gw,total_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,starts,bonus,bps,transfers_in,transfers_out,dreamteam_count,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,influence,creativity,threat,ict_index,tackles,clearances_blocks_interceptions,recoveries,defensive_contribution
1,David,Raya Martín,Raya,a,,,6.0,86,1.0,33.9,7,1.0,0.7,275.0,20.0,0,0,0.0,5,-5.0,3605,1438,0.1,21.8,1.7,1.7,4.0,66.0,6.0,,,110.0,17.0,380.0,3.0,820.0,96.0,274.0,16.0,,,,,,,,0.0,0.0,0.0,0.75,1.61,0.45,0.79,1.0,0.0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75084,17015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2,Kepa,Arrizabalaga Revuelta,Arrizabalaga,a,,,4.0,670,43.0,0.4,295,38.0,0.0,418.0,54.0,0,0,0.0,-5,5.0,14,5,0.0,0.0,1.0,1.0,0.0,582.0,66.0,,,571.0,66.0,562.0,53.0,531.0,39.0,573.0,66.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165,125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
3,Karl,Hein,Hein,u,Has joined Werder Bremen on loan for the rest of the season.,,4.0,690,53.0,0.2,379,54.0,0.0,437.0,64.0,0,0,0.0,0,0.0,0,5,0.0,0.0,0.0,0.0,0.0,599.0,75.0,0.0,0.0,588.0,75.0,580.0,63.0,549.0,49.0,590.0,75.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
4,Tommy,Setford,Setford,a,,,3.9,782,90.0,0.2,370,53.0,0.0,404.0,47.0,0,0,0.0,-1,1.0,2,6,0.0,0.0,1.0,1.0,0.0,571.0,60.0,,,560.0,60.0,549.0,45.0,517.0,31.0,562.0,60.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
5,Gabriel,dos Santos Magalhães,Gabriel,a,,,7.1,34,1.0,43.1,5,1.0,1.3,201.0,68.0,0,0,0.0,11,-11.0,4919,1106,0.2,24.9,2.3,2.3,6.6,2.0,1.0,100.0,100.0,29.0,11.0,271.0,77.0,136.0,25.0,100.0,26.0,,,,,,,,0.08,0.06,0.14,0.71,0.0,0.54,0.73,1.0,9.17,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87165,14083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
6,William,Saliba,Saliba,a,,,6.1,84,5.0,14.2,25,9.0,1.3,197.0,67.0,0,0,0.0,1,-1.0,4163,706,0.2,18.2,2.3,2.3,4.1,57.0,23.0,100.0,100.0,112.0,50.0,208.0,53.0,299.0,89.0,202.0,69.0,,,,,,,,0.04,0.03,0.07,0.71,0.0,0.44,0.8,1.04,6.63,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56241,8132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
7,Riccardo,Calafiori,Calafiori,d,Knock - 75% chance of playing,,5.6,131,13.0,5.9,66,23.0,0.0,801.0,265.0,0,0,0.0,1,-1.0,44,284,0.0,16.6,0.8,0.8,4.2,49.0,20.0,75.0,75.0,255.0,102.0,254.0,68.0,122.0,22.0,235.0,81.0,,,,,,,,0.18,0.03,0.21,0.56,0.0,0.68,0.5,1.12,5.91,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,296,3114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
8,Jurriën,Timber,J.Timber,i,Ankle injury - Unknown return date,,6.1,82,4.0,19.8,15,5.0,0.0,811.0,267.0,0,0,0.0,6,-6.0,42,17919,0.0,24.4,0.0,0.0,5.0,15.0,4.0,0.0,0.0,96.0,41.0,72.0,14.0,75.0,6.0,68.0,11.0,,,,,,,,0.17,0.06,0.23,0.64,0.0,0.48,0.73,1.03,5.43,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,908,137506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
9,Jakub,Kiwior,Kiwior,u,has joined Porto on loan for the rest of the season.,,5.4,168,20.0,0.0,595,212.0,0.0,785.0,262.0,0,0,0.0,-1,1.0,0,1,0.0,0.0,0.0,0.0,0.0,812.0,268.0,0.0,0.0,811.0,268.0,810.0,268.0,808.0,268.0,811.0,268.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
10,Myles,Lewis-Skelly,Lewis-Skelly,a,,,5.0,270,42.0,1.4,171,65.0,0.3,324.0,106.0,0,0,0.0,-5,5.0,17,15,0.1,2.6,1.3,1.3,0.9,515.0,176.0,,,423.0,157.0,358.0,126.0,377.0,130.0,419.0,149.0,,,,,,,,0.02,0.02,0.04,1.45,0.0,0.0,1.57,0.45,4.26,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201,166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
11,Benjamin,White,White,a,,,5.1,225,31.0,0.5,267,100.0,0.7,260.0,86.0,0,0,0.0,-4,4.0,56,21,0.1,6.3,1.7,1.7,3.6,109.0,39.0,100.0,100.0,342.0,130.0,273.0,79.0,338.0,109.0,357.0,121.0,,,,,,,,0.08,0.09,0.17,1.32,0.0,0.54,1.08,1.08,8.28,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1396,376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
13,Brayden,Clarke,Clarke,a,,,3.7,826,265.0,0.4,279,105.0,0.0,349.0,117.0,0,0,0.0,-3,3.0,44,23,0.0,0.0,1.0,1.0,0.0,528.0,185.0,,,517.0,184.0,499.0,183.0,466.0,177.0,519.0,184.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,877,354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
14,Maldini,Kacurri,Kacurri,u,has joined Morecambe on loan for the rest of the season.,,3.9,788,231.0,0.1,500,178.0,0.0,410.0,152.0,0,0,0.0,-1,1.0,0,0,0.0,0.0,0.0,0.0,0.0,576.0,209.0,0.0,0.0,565.0,208.0,554.0,208.0,522.0,203.0,567.0,208.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
15,Josh,Nichols,Nichols,a,,,3.7,824,263.0,0.2,358,129.0,0.0,347.0,115.0,0,0,0.0,-3,3.0,9,14,0.0,0.0,1.0,1.0,0.0,527.0,184.0,,,516.0,183.0,497.0,181.0,464.0,175.0,518.0,183.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171,275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
16,Bukayo,Saka,Saka,d,Achilles injury - 75% chance of playing,,9.8,6,4.0,7.0,59,21.0,0.0,828.0,373.0,0,0,0.0,-2,2.0,773,634,0.0,13.6,0.8,0.8,4.9,18.0,8.0,75.0,75.0,82.0,26.0,12.0,12.0,9.0,3.0,11.0,8.0,2.0,2.0,1.0,,,,,0.32,0.26,0.58,0.65,0.0,0.45,0.72,0.99,7.35,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2773,8348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
17,Martin,Ødegaard,Ødegaard,a,,,7.8,19,13.0,1.6,156,53.0,0.7,287.0,138.0,0,0,0.0,-2,2.0,179,30,0.1,8.2,1.7,1.7,3.0,202.0,81.0,100.0,100.0,240.0,102.0,47.0,41.0,215.0,119.0,145.0,77.0,4.0,,3.0,,,,,0.08,0.25,0.33,1.11,0.0,0.31,1.01,1.09,6.91,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4990,371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
