gameweek,kickoff_time,home_team,home_team_elo,home_score,away_score,away_team,away_team_elo,finished,match_id,match_url,home_possession,away_possession,home_expected_goals_xg,away_expected_goals_xg,home_total_shots,away_total_shots,home_shots_on_target,away_shots_on_target,home_big_chances,away_big_chances,home_big_chances_missed,away_big_chances_missed,home_accurate_passes,away_accurate_passes,home_accurate_passes_pct,away_accurate_passes_pct,home_fouls_committed,away_fouls_committed,home_corners,away_corners,home_xg_open_play,away_xg_open_play,home_xg_set_play,away_xg_set_play,home_non_penalty_xg,away_non_penalty_xg,home_xg_on_target_xgot,away_xg_on_target_xgot,home_shots_off_target,away_shots_off_target,home_blocked_shots,away_blocked_shots,home_hit_woodwork,away_hit_woodwork,home_shots_inside_box,away_shots_inside_box,home_shots_outside_box,away_shots_outside_box,home_passes,away_passes,home_own_half,away_own_half,home_opposition_half,away_opposition_half,home_accurate_long_balls,away_accurate_long_balls,home_accurate_long_balls_pct,away_accurate_long_balls_pct,home_accurate_crosses,away_accurate_crosses,home_accurate_crosses_pct,away_accurate_crosses_pct,home_throws,away_throws,home_touches_in_opposition_box,away_touches_in_opposition_box,home_offsides,away_offsides,home_yellow_cards,away_yellow_cards,home_red_cards,away_red_cards,home_tackles_won,away_tackles_won,home_tackles_won_pct,away_tackles_won_pct,home_interceptions,away_interceptions,home_blocks,away_blocks,home_clearances,away_clearances,home_keeper_saves,away_keeper_saves,home_duels_won,away_duels_won,home_ground_duels_won,away_ground_duels_won,home_ground_duels_won_pct,away_ground_duels_won_pct,home_aerial_duels_won,away_aerial_duels_won,home_aerial_duels_won_pct,away_aerial_duels_won_pct,home_successful_dribbles,away_successful_dribbles,home_successful_dribbles_pct,away_successful_dribbles_pct,fotmob_id,stats_processed,player_stats_processed,home_distance_covered,away_distance_covered,home_walking_distance,away_walking_distance,home_running_distance,away_running_distance,home_sprinting_distance,away_sprinting_distance,home_number_of_sprints,away_number_of_sprints,home_top_speed,away_top_speed,tournament
36.0,,31.0,,,,11.0,,False,25-26-prem-crystal-palace-vs-everton,/matches/everton-vs-crystal-palace/2tttz7#4813727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4813727.0,False,False,,,,,,,,,,,,,prem
36.0,,90.0,,,,7.0,,False,25-26-prem-burnley-vs-aston-villa,/matches/burnley-vs-aston-villa/2t9lxd#4813726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4813726.0,False,False,,,,,,,,,,,,,prem
36.0,,54.0,,0.0,1.0,91.0,,True,25-26-prem-fulham-vs-afc-bournemouth,/matches/afc-bournemouth-vs-fulham/2uiul6#4813728,59.0,41.0,0.91,0.7,12.0,9.0,2.0,4.0,1.0,1.0,1.0,1.0,398.0,272.0,89.0,86.0,10.0,13.0,9.0,2.0,0.7,0.66,0.21,0.04,0.91,0.7,0.14,0.6,5.0,3.0,5.0,2.0,1.0,1.0,9.0,4.0,3.0,5.0,449.0,316.0,208.0,161.0,190.0,111.0,18.0,25.0,58.0,51.0,3.0,3.0,13.0,33.0,11.0,7.0,30.0,14.0,1.0,3.0,3.0,1.0,1.0,1.0,11.0,7.0,,,4.0,3.0,2.0,5.0,9.0,25.0,3.0,2.0,37.0,28.0,29.0,19.0,60.0,40.0,8.0,9.0,47.0,53.0,5.0,2.0,71.0,67.0,4813728.0,False,False,,,,,,,,,,,,,prem
36.0,,43.0,,,,94.0,,False,25-26-prem-manchester-city-vs-brentford,/matches/manchester-city-vs-brentford/2spwom#4813730,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4813730.0,False,False,,,,,,,,,,,,,prem
36.0,,17.0,,,,4.0,,False,25-26-prem-nottingham-forest-vs-newcastle-united,/matches/nottingham-forest-vs-newcastle-united/3gocct#4813731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4813731.0,False,False,,,,,,,,,,,,,prem
36.0,,21.0,,,,3.0,,False,25-26-prem-west-ham-united-vs-arsenal,/matches/west-ham-united-vs-arsenal/2tnw09#4813734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4813734.0,False,False,,,,,,,,,,,,,prem
36.0,,6.0,,,,2.0,,False,25-26-prem-tottenham-hotspur-vs-leeds-united,/matches/leeds-united-vs-tottenham-hotspur/2ejdsf#4813733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4813733.0,False,False,,,,,,,,,,,,,prem
36.0,,56.0,,0.0,0.0,1.0,,True,25-26-prem-sunderland-vs-manchester-united,/matches/sunderland-vs-manchester-united/2wgr5i#4813732,52.0,48.0,1.16,0.39,15.0,8.0,4.0,0.0,1.0,0.0,1.0,0.0,401.0,371.0,84.0,82.0,11.0,10.0,6.0,5.0,0.69,0.17,0.47,0.22,1.16,0.39,2.05,0.0,6.0,4.0,5.0,4.0,1.0,0.0,9.0,4.0,6.0,4.0,476.0,451.0,193.0,186.0,208.0,185.0,18.0,24.0,49.0,48.0,2.0,4.0,12.0,29.0,8.0,13.0,27.0,12.0,1.0,0.0,0.0,2.0,0.0,0.0,9.0,12.0,,,9.0,10.0,4.0,5.0,20.0,24.0,0.0,4.0,41.0,34.0,24.0,26.0,48.0,52.0,17.0,8.0,68.0,32.0,5.0,4.0,42.0,50.0,4813732.0,False,False,,,,,,,,,,,,,prem
36.0,,36.0,,2.0,0.0,39.0,,False,25-26-prem-brighton-hove-albion-vs-wolverhampton-wanderers,/matches/wolverhampton-wanderers-vs-brighton-hove-albion/2xaiyv#4813725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4813725.0,False,False,,,,,,,,,,,,,prem
36.0,,14.0,,1.0,1.0,8.0,,True,25-26-prem-liverpool-vs-chelsea,/matches/chelsea-vs-liverpool/2f3vr7#4813729,49.0,51.0,0.51,0.47,8.0,6.0,3.0,3.0,1.0,1.0,1.0,1.0,388.0,431.0,84.0,86.0,17.0,17.0,5.0,2.0,0.16,0.38,0.36,0.08,0.51,0.47,0.32,0.36,4.0,2.0,1.0,1.0,2.0,0.0,5.0,4.0,3.0,2.0,462.0,500.0,246.0,222.0,142.0,209.0,13.0,9.0,31.0,21.0,6.0,2.0,38.0,29.0,16.0,17.0,24.0,23.0,2.0,2.0,2.0,4.0,0.0,0.0,10.0,19.0,,,7.0,10.0,1.0,1.0,10.0,14.0,2.0,2.0,42.0,55.0,34.0,46.0,43.0,58.0,8.0,9.0,47.0,53.0,8.0,10.0,44.0,71.0,4813729.0,False,False,,,,,,,,,,,,,prem
