id,status,chance_of_playing_next_round,chance_of_playing_this_round,now_cost,now_cost_rank,now_cost_rank_type,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,selected_by_percent,selected_rank,selected_rank_type,total_points,event_points,points_per_game,points_per_game_rank,points_per_game_rank_type,bonus,bps,form,form_rank,form_rank_type,value_form,value_season,dreamteam_count,transfers_in,transfers_in_event,transfers_out,transfers_out_event,ep_next,ep_this,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,expected_goals_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,influence,influence_rank,influence_rank_type,creativity,creativity_rank,creativity_rank_type,threat,threat_rank,threat_rank_type,ict_index,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,direct_freekicks_order,penalties_order,gw,set_piece_threat,first_name,second_name,web_name,news,news_added,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,starts,defensive_contribution,corners_and_indirect_freekicks_text,direct_freekicks_text,penalties_text,saves_per_90,clean_sheets_per_90,goals_conceded_per_90,starts_per_90,defensive_contribution_per_90,tackles,clearances_blocks_interceptions,recoveries
257,a,100.0,100.0,5.2,212,30.0,0,0.0,2,-2.0,8.2,51,16.0,149,1,4.5,30.0,11.0,11,514,3.5,84.0,36.0,0.7,28.7,0.0,2238365,1702,1401359,4708,3.5,6.5,2.44,0.79,3.23,41.9,0.07,0.02,0.09,1.28,782.0,26.0,9.0,105.9,285.0,87.0,309.0,101.0,12.0,119.6,92.0,22.0,,,,36,,Maxence,Lacroix,Lacroix,,,2935,1,2,11,43,0,0,0,4,1,0,33,376,,,,0.0,0.34,1.32,1.01,10.7,56,293,91
258,a,,,5.0,254,39.0,0,0.0,0,0.0,2.4,127,50.0,131,4,3.7,98.0,37.0,8,484,2.8,127.0,49.0,0.6,26.2,0.0,550093,505,431552,915,2.8,5.1,1.25,2.39,3.64,45.15,0.04,0.07,0.11,1.34,599.2,67.0,32.0,459.8,61.0,10.0,212.0,162.0,35.0,127.3,80.0,15.0,,,,36,,Tyrick,Mitchell,Mitchell,,,3028,1,3,12,41,0,0,0,5,0,0,34,272,,,,0.0,0.36,1.22,1.01,6.66,89,135,173
259,d,50.0,50.0,4.8,355,59.0,0,0.0,-2,2.0,0.1,452,169.0,6,0,0.9,522.0,178.0,0,9,0.2,381.0,132.0,0.0,1.2,0.0,12447,4,19710,54,0.1,0.0,0.04,0.07,0.11,0.9,0.04,0.06,0.1,0.82,12.6,469.0,171.0,24.1,402.0,145.0,8.0,429.0,162.0,4.5,465.0,167.0,,,,36,,Borna,Sosa,Sosa,Knock - 50% chance of playing,,99,0,0,0,2,0,0,0,1,0,0,0,10,,,,0.0,0.0,1.82,0.0,8.18,3,6,3
263,a,100.0,100.0,3.8,799,235.0,0,0.0,-2,2.0,0.5,273,104.0,15,0,1.9,350.0,128.0,2,49,0.0,406.0,143.0,0.0,3.9,0.0,93715,42,115622,80,0.0,-0.5,0.43,0.6,1.03,7.31,0.08,0.11,0.19,1.33,80.6,400.0,149.0,53.5,357.0,127.0,33.0,367.0,122.0,16.6,400.0,142.0,,,,36,,Nathaniel,Clyne,Clyne,,,494,0,1,0,9,0,0,0,1,0,0,6,39,,,,0.0,0.0,1.64,1.09,7.11,14,25,16
289,u,0.0,0.0,3.9,773,82.0,0,0.0,-1,1.0,0.1,506,74.0,0,0,0.0,565.0,53.0,0,0,0.0,443.0,42.0,0.0,0.0,0.0,4633,0,10775,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,553.0,53.0,0.0,540.0,36.0,0.0,508.0,22.0,0.0,555.0,53.0,,,,36,,Harry,Tyrer,Tyrer,has joined Cardiff City permanently.,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0,0,0
306,a,,,4.3,615,364.0,0,0.0,-2,2.0,0.1,498,180.0,0,0,0.0,668.0,252.0,0,0,0.0,576.0,194.0,0.0,0.0,0.0,15898,33,16973,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,657.0,242.0,0.0,654.0,247.0,0.0,631.0,236.0,0.0,659.0,244.0,,,,36,,Callum,Bates,Bates,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0,0,0
675,a,100.0,100.0,4.0,674,43.0,0,0.0,0,0.0,1.1,187,22.0,1,0,1.0,467.0,39.0,0,4,0.0,468.0,56.0,0.0,0.2,0.0,31248,16,104345,68,-0.5,0.0,0.0,0.0,0.0,0.21,0.0,0.0,0.0,0.42,1.2,508.0,39.0,0.0,566.0,53.0,0.0,535.0,39.0,0.1,515.0,39.0,,,,36,,Angus,Gunn,Gunn,,,45,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0,1,4
637,a,100.0,100.0,4.2,646,149.0,0,0.0,-3,3.0,0.1,509,180.0,40,3,2.2,312.0,115.0,0,137,3.0,108.0,42.0,0.7,9.5,0.0,9192,20,20871,25,2.5,2.0,0.53,0.29,0.82,25.01,0.03,0.02,0.05,1.61,347.2,200.0,82.0,92.6,299.0,96.0,71.0,313.0,96.0,51.3,289.0,93.0,,,,36,,Toti,Gomes,Toti,,,1399,0,0,1,33,0,0,0,1,1,0,17,164,,,,0.0,0.06,2.12,1.09,9.14,23,119,52
656,u,0.0,0.0,4.9,317,59.0,0,0.0,-1,1.0,0.0,594,81.0,1,0,1.0,504.0,61.0,0,1,0.0,745.0,79.0,0.0,0.2,0.0,1691,0,10189,0,0.0,0.0,0.0,0.01,0.01,0.1,0.0,0.06,0.06,0.64,1.0,511.0,62.0,4.3,457.0,58.0,2.0,458.0,62.0,0.7,500.0,62.0,,,,36,,Saša,Kalajdžić,Kalajdžić,has joined LASK on loan for the rest of the season.,,14,0,0,0,0,0,0,0,0,0,0,0,2,,,,0.0,0.0,0.0,0.0,12.86,0,1,1
657,a,100.0,100.0,4.4,572,82.0,0,0.0,-1,1.0,0.0,621,84.0,0,0,0.0,696.0,76.0,0,0,0.0,614.0,68.0,0.0,0.0,0.0,6332,23,8238,25,-0.5,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,689.0,75.0,0.0,685.0,74.0,0.0,666.0,74.0,0.0,691.0,75.0,,,,36,,Leon,Chiwome,Chiwome,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0,0,0
