match_id,team_side,player_id,player_name,jersey_number,position,x,y
25-26-prem-afc-bournemouth-vs-newcastle-united,home,81,Kluivert,14,M,69.5,64.9
25-26-prem-afc-bournemouth-vs-newcastle-united,home,,Evanilson,35,F,59.9,54.2
25-26-prem-afc-bournemouth-vs-newcastle-united,home,67,Petrović,30,G,12.1,49.5
25-26-prem-afc-bournemouth-vs-newcastle-united,home,77,Hill,30,D,45.1,21.7
25-26-prem-afc-bournemouth-vs-newcastle-united,home,697,Adli,12,F,59.8,70.5
25-26-prem-afc-bournemouth-vs-newcastle-united,home,87,Christie,36,M,57.6,66.1
25-26-prem-afc-bournemouth-vs-newcastle-united,home,84,Tavernier,57,M,59.7,41.3
25-26-prem-afc-bournemouth-vs-newcastle-united,home,86,Brooks,57,M,61.3,67.7
25-26-prem-afc-bournemouth-vs-newcastle-united,home,82,Semenyo,65,M,57.5,28.0
25-26-prem-afc-bournemouth-vs-newcastle-united,home,,M. Senesi,119,D,36.5,65.2
25-26-prem-afc-bournemouth-vs-newcastle-united,home,,A. Jiménez,46,D,49.5,12.0
25-26-prem-afc-bournemouth-vs-newcastle-united,home,74,Truffert,90,D,43.5,86.7
25-26-prem-afc-bournemouth-vs-newcastle-united,home,85,Adams,95,M,43.9,37.5
25-26-prem-afc-bournemouth-vs-newcastle-united,home,90,Scott,65,M,48.8,58.8
25-26-prem-afc-bournemouth-vs-newcastle-united,home,685,Diakité,92,D,40.3,32.3
25-26-prem-afc-bournemouth-vs-newcastle-united,away,486,Elanga,16,F,59.0,44.1
25-26-prem-afc-bournemouth-vs-newcastle-united,away,487,Barnes,17,F,62.6,64.8
25-26-prem-afc-bournemouth-vs-newcastle-united,away,714,Woltemade,47,F,64.2,53.9
25-26-prem-afc-bournemouth-vs-newcastle-united,away,489,J.Murphy,35,F,64.5,23.0
25-26-prem-afc-bournemouth-vs-newcastle-united,away,494,Willock,41,M,48.4,77.6
25-26-prem-afc-bournemouth-vs-newcastle-united,away,480,Lascelles,4,D,19.5,41.8
25-26-prem-afc-bournemouth-vs-newcastle-united,away,500,Osula,8,F,42.6,63.3
25-26-prem-afc-bournemouth-vs-newcastle-united,away,469,Pope,57,G,14.0,54.0
25-26-prem-afc-bournemouth-vs-newcastle-united,away,477,Livramento,68,D,57.2,11.7
25-26-prem-afc-bournemouth-vs-newcastle-united,away,684,Thiaw,58,D,35.2,27.9
25-26-prem-afc-bournemouth-vs-newcastle-united,away,476,Burn,75,D,39.9,69.3
25-26-prem-afc-bournemouth-vs-newcastle-united,away,475,Botman,77,D,30.7,52.0
25-26-prem-afc-bournemouth-vs-newcastle-united,away,473,Hall,83,D,51.2,85.9
25-26-prem-afc-bournemouth-vs-newcastle-united,away,497,L.Miley,67,M,44.3,62.0
25-26-prem-afc-bournemouth-vs-newcastle-united,away,491,Tonali,80,M,52.0,36.6
25-26-prem-arsenal-vs-manchester-city,home,25,Nwaneri,12,M,51.5,42.4
25-26-prem-arsenal-vs-manchester-city,home,18,Madueke,40,M,73.9,15.1
25-26-prem-arsenal-vs-manchester-city,home,666,Gyökeres,32,F,66.0,46.1
25-26-prem-arsenal-vs-manchester-city,home,,M. Merino,41,M,52.7,34.3
25-26-prem-arsenal-vs-manchester-city,home,,D. Raya,46,G,15.8,53.6
25-26-prem-arsenal-vs-manchester-city,home,266,Eze,34,M,62.4,54.9
25-26-prem-arsenal-vs-manchester-city,home,,G. Martinelli,5,F,53.2,59.2
25-26-prem-arsenal-vs-manchester-city,home,21,Rice,121,M,53.2,60.2
