match_id,team_side,team_code,player_id,player_name,position,jersey_number,is_starting,formation,lineup_status,confidence
26-27-friendly-afc-bournemouth-vs-st.-pauli-2026-07-24,home,91,57,Đ. Petrović,G,1,True,4-2-3-1,confirmed,
26-27-friendly-afc-bournemouth-vs-st.-pauli-2026-07-24,home,91,64,A. Smith,D,15,True,4-2-3-1,confirmed,
26-27-friendly-afc-bournemouth-vs-st.-pauli-2026-07-24,home,91,60,J. Hill,D,23,True,4-2-3-1,confirmed,
26-27-friendly-afc-bournemouth-vs-st.-pauli-2026-07-24,home,91,,H. William,D,56,True,4-2-3-1,confirmed,
26-27-friendly-afc-bournemouth-vs-st.-pauli-2026-07-24,home,91,61,A. Truffert,D,3,True,4-2-3-1,confirmed,
26-27-friendly-afc-bournemouth-vs-st.-pauli-2026-07-24,home,91,69,A. Scott,M,8,True,4-2-3-1,confirmed,
26-27-friendly-afc-bournemouth-vs-st.-pauli-2026-07-24,home,91,75,R. Christie,M,10,True,4-2-3-1,confirmed,
26-27-friendly-afc-bournemouth-vs-st.-pauli-2026-07-24,home,91,,R. Rees-Dottin,F,50,True,4-2-3-1,confirmed,
26-27-friendly-afc-bournemouth-vs-st.-pauli-2026-07-24,home,91,68,M. Tavernier,M,16,True,4-2-3-1,confirmed,
26-27-friendly-afc-bournemouth-vs-st.-pauli-2026-07-24,home,91,80,E. Ünal,F,26,True,4-2-3-1,confirmed,
26-27-friendly-afc-bournemouth-vs-st.-pauli-2026-07-24,home,91,79,Evanilson,F,9,True,4-2-3-1,confirmed,
26-27-friendly-afc-bournemouth-vs-st.-pauli-2026-07-24,home,91,72,B. Doak,M,11,False,4-2-3-1,confirmed,
26-27-friendly-afc-bournemouth-vs-st.-pauli-2026-07-24,home,91,59,W. Dennis,G,40,False,4-2-3-1,confirmed,
26-27-friendly-afc-bournemouth-vs-st.-pauli-2026-07-24,home,91,65,J. Araujo,D,2,False,4-2-3-1,confirmed,
26-27-friendly-afc-bournemouth-vs-st.-pauli-2026-07-24,home,91,62,B. Diakité,D,18,False,4-2-3-1,confirmed,
26-27-friendly-afc-bournemouth-vs-st.-pauli-2026-07-24,home,91,,J. Soler,D,6,False,4-2-3-1,confirmed,
26-27-friendly-afc-bournemouth-vs-st.-pauli-2026-07-24,home,91,76,A. Tóth,M,27,False,4-2-3-1,confirmed,
26-27-friendly-afc-bournemouth-vs-st.-pauli-2026-07-24,home,91,70,J. Kluivert,M,19,False,4-2-3-1,confirmed,
26-27-friendly-afc-bournemouth-vs-st.-pauli-2026-07-24,home,91,,C. Stevens,M,53,False,4-2-3-1,confirmed,
26-27-friendly-afc-bournemouth-vs-st.-pauli-2026-07-24,home,91,71,L. Cook,M,4,False,4-2-3-1,confirmed,
26-27-friendly-afc-bournemouth-vs-st.-pauli-2026-07-24,home,91,,D. Jebbison,F,21,False,4-2-3-1,confirmed,
26-27-friendly-afc-bournemouth-vs-st.-pauli-2026-07-24,home,91,77,A. Adli,F,21,False,4-2-3-1,confirmed,
26-27-friendly-afc-bournemouth-vs-st.-pauli-2026-07-24,away,,,B. Voll,G,1,True,3-4-2-1,confirmed,
