match_id,minute,value
26-27-friendly-auckland-fc-vs-tottenham-hotspur-2026-07-26,1,-8
26-27-friendly-auckland-fc-vs-tottenham-hotspur-2026-07-26,2,27
26-27-friendly-auckland-fc-vs-tottenham-hotspur-2026-07-26,3,5
26-27-friendly-auckland-fc-vs-tottenham-hotspur-2026-07-26,4,-34
26-27-friendly-auckland-fc-vs-tottenham-hotspur-2026-07-26,5,-18
26-27-friendly-auckland-fc-vs-tottenham-hotspur-2026-07-26,6,34
26-27-friendly-auckland-fc-vs-tottenham-hotspur-2026-07-26,7,7
26-27-friendly-auckland-fc-vs-tottenham-hotspur-2026-07-26,8,-10
26-27-friendly-auckland-fc-vs-tottenham-hotspur-2026-07-26,9,-5
26-27-friendly-auckland-fc-vs-tottenham-hotspur-2026-07-26,10,-27
26-27-friendly-auckland-fc-vs-tottenham-hotspur-2026-07-26,11,-20
26-27-friendly-auckland-fc-vs-tottenham-hotspur-2026-07-26,12,-87
26-27-friendly-auckland-fc-vs-tottenham-hotspur-2026-07-26,13,-52
26-27-friendly-auckland-fc-vs-tottenham-hotspur-2026-07-26,14,-31
26-27-friendly-auckland-fc-vs-tottenham-hotspur-2026-07-26,15,-26
26-27-friendly-auckland-fc-vs-tottenham-hotspur-2026-07-26,16,-23
26-27-friendly-auckland-fc-vs-tottenham-hotspur-2026-07-26,17,36
26-27-friendly-auckland-fc-vs-tottenham-hotspur-2026-07-26,18,18
26-27-friendly-auckland-fc-vs-tottenham-hotspur-2026-07-26,19,-27
26-27-friendly-auckland-fc-vs-tottenham-hotspur-2026-07-26,20,-19
26-27-friendly-auckland-fc-vs-tottenham-hotspur-2026-07-26,21,-24
26-27-friendly-auckland-fc-vs-tottenham-hotspur-2026-07-26,22,-30
26-27-friendly-auckland-fc-vs-tottenham-hotspur-2026-07-26,23,-27
26-27-friendly-auckland-fc-vs-tottenham-hotspur-2026-07-26,24,-41
26-27-friendly-auckland-fc-vs-tottenham-hotspur-2026-07-26,25,-26
26-27-friendly-auckland-fc-vs-tottenham-hotspur-2026-07-26,26,-28
26-27-friendly-auckland-fc-vs-tottenham-hotspur-2026-07-26,27,-35
26-27-friendly-auckland-fc-vs-tottenham-hotspur-2026-07-26,28,-29
26-27-friendly-auckland-fc-vs-tottenham-hotspur-2026-07-26,29,-20
26-27-friendly-auckland-fc-vs-tottenham-hotspur-2026-07-26,30,-18
26-27-friendly-auckland-fc-vs-tottenham-hotspur-2026-07-26,31,-42
26-27-friendly-auckland-fc-vs-tottenham-hotspur-2026-07-26,32,-61
26-27-friendly-auckland-fc-vs-tottenham-hotspur-2026-07-26,33,-42
26-27-friendly-auckland-fc-vs-tottenham-hotspur-2026-07-26,34,-40
26-27-friendly-auckland-fc-vs-tottenham-hotspur-2026-07-26,35,-56
26-27-friendly-auckland-fc-vs-tottenham-hotspur-2026-07-26,36,-37
26-27-friendly-auckland-fc-vs-tottenham-hotspur-2026-07-26,37,-77
26-27-friendly-auckland-fc-vs-tottenham-hotspur-2026-07-26,38,-95
26-27-friendly-auckland-fc-vs-tottenham-hotspur-2026-07-26,39,-87
26-27-friendly-auckland-fc-vs-tottenham-hotspur-2026-07-26,40,-37
26-27-friendly-auckland-fc-vs-tottenham-hotspur-2026-07-26,41,36
26-27-friendly-auckland-fc-vs-tottenham-hotspur-2026-07-26,42,36
26-27-friendly-auckland-fc-vs-tottenham-hotspur-2026-07-26,43,23
26-27-friendly-auckland-fc-vs-tottenham-hotspur-2026-07-26,44,86
26-27-friendly-auckland-fc-vs-tottenham-hotspur-2026-07-26,45,-75
26-27-friendly-auckland-fc-vs-tottenham-hotspur-2026-07-26,46,3
26-27-friendly-auckland-fc-vs-tottenham-hotspur-2026-07-26,47,3
26-27-friendly-auckland-fc-vs-tottenham-hotspur-2026-07-26,48,20
26-27-friendly-auckland-fc-vs-tottenham-hotspur-2026-07-26,49,50
26-27-friendly-auckland-fc-vs-tottenham-hotspur-2026-07-26,50,28
26-27-friendly-auckland-fc-vs-tottenham-hotspur-2026-07-26,51,13
26-27-friendly-auckland-fc-vs-tottenham-hotspur-2026-07-26,52,14
26-27-friendly-auckland-fc-vs-tottenham-hotspur-2026-07-26,53,9
26-27-friendly-auckland-fc-vs-tottenham-hotspur-2026-07-26,54,-11
26-27-friendly-auckland-fc-vs-tottenham-hotspur-2026-07-26,55,-7
26-27-friendly-auckland-fc-vs-tottenham-hotspur-2026-07-26,56,-29
26-27-friendly-auckland-fc-vs-tottenham-hotspur-2026-07-26,57,-17
26-27-friendly-auckland-fc-vs-tottenham-hotspur-2026-07-26,58,-30
26-27-friendly-auckland-fc-vs-tottenham-hotspur-2026-07-26,59,-16
26-27-friendly-auckland-fc-vs-tottenham-hotspur-2026-07-26,60,-100
26-27-friendly-auckland-fc-vs-tottenham-hotspur-2026-07-26,61,-72
26-27-friendly-auckland-fc-vs-tottenham-hotspur-2026-07-26,62,-52
26-27-friendly-auckland-fc-vs-tottenham-hotspur-2026-07-26,63,-34
26-27-friendly-auckland-fc-vs-tottenham-hotspur-2026-07-26,64,-25
26-27-friendly-auckland-fc-vs-tottenham-hotspur-2026-07-26,65,-19
26-27-friendly-auckland-fc-vs-tottenham-hotspur-2026-07-26,66,-47
26-27-friendly-auckland-fc-vs-tottenham-hotspur-2026-07-26,67,-45
26-27-friendly-auckland-fc-vs-tottenham-hotspur-2026-07-26,68,-31
26-27-friendly-auckland-fc-vs-tottenham-hotspur-2026-07-26,69,-23
26-27-friendly-auckland-fc-vs-tottenham-hotspur-2026-07-26,70,-54
26-27-friendly-auckland-fc-vs-tottenham-hotspur-2026-07-26,71,-24
26-27-friendly-auckland-fc-vs-tottenham-hotspur-2026-07-26,72,-9
26-27-friendly-auckland-fc-vs-tottenham-hotspur-2026-07-26,73,-33
26-27-friendly-auckland-fc-vs-tottenham-hotspur-2026-07-26,74,-37
26-27-friendly-auckland-fc-vs-tottenham-hotspur-2026-07-26,75,-14
26-27-friendly-auckland-fc-vs-tottenham-hotspur-2026-07-26,76,-23
26-27-friendly-auckland-fc-vs-tottenham-hotspur-2026-07-26,77,-43
26-27-friendly-auckland-fc-vs-tottenham-hotspur-2026-07-26,78,-37
26-27-friendly-auckland-fc-vs-tottenham-hotspur-2026-07-26,79,-22
26-27-friendly-auckland-fc-vs-tottenham-hotspur-2026-07-26,80,-19
26-27-friendly-auckland-fc-vs-tottenham-hotspur-2026-07-26,81,-65
26-27-friendly-auckland-fc-vs-tottenham-hotspur-2026-07-26,82,-58
26-27-friendly-auckland-fc-vs-tottenham-hotspur-2026-07-26,83,-43
26-27-friendly-auckland-fc-vs-tottenham-hotspur-2026-07-26,84,-32
26-27-friendly-auckland-fc-vs-tottenham-hotspur-2026-07-26,85,-48
26-27-friendly-auckland-fc-vs-tottenham-hotspur-2026-07-26,86,-40
26-27-friendly-auckland-fc-vs-tottenham-hotspur-2026-07-26,87,-29
26-27-friendly-auckland-fc-vs-tottenham-hotspur-2026-07-26,88,-22
26-27-friendly-auckland-fc-vs-tottenham-hotspur-2026-07-26,89,-33
26-27-friendly-auckland-fc-vs-tottenham-hotspur-2026-07-26,90,-29
26-27-friendly-bromley-vs-crystal-palace-2026-07-25,1,-1
26-27-friendly-bromley-vs-crystal-palace-2026-07-25,2,21
26-27-friendly-bromley-vs-crystal-palace-2026-07-25,3,44
26-27-friendly-bromley-vs-crystal-palace-2026-07-25,4,16
26-27-friendly-bromley-vs-crystal-palace-2026-07-25,5,-78
26-27-friendly-bromley-vs-crystal-palace-2026-07-25,6,-56
26-27-friendly-bromley-vs-crystal-palace-2026-07-25,7,-38
26-27-friendly-bromley-vs-crystal-palace-2026-07-25,8,-28
26-27-friendly-bromley-vs-crystal-palace-2026-07-25,9,21
26-27-friendly-bromley-vs-crystal-palace-2026-07-25,10,23
26-27-friendly-bromley-vs-crystal-palace-2026-07-25,11,4
26-27-friendly-bromley-vs-crystal-palace-2026-07-25,12,-23
26-27-friendly-bromley-vs-crystal-palace-2026-07-25,13,-13
26-27-friendly-bromley-vs-crystal-palace-2026-07-25,14,-53
26-27-friendly-bromley-vs-crystal-palace-2026-07-25,15,-56
