player_id,match_id,minutes_played,goals,assists,total_shots,xg,xa,shots_on_target,successful_dribbles,big_chances_missed,touches_opposition_box,touches,accurate_passes,accurate_passes_percent,chances_created,final_third_passes,accurate_crosses,accurate_crosses_percent,accurate_long_balls,accurate_long_balls_percent,tackles_won,interceptions,recoveries,blocks,clearances,headed_clearances,dribbled_past,duels_won,duels_lost,ground_duels_won,ground_duels_won_percent,aerial_duels_won,aerial_duels_won_percent,was_fouled,fouls_committed,saves,goals_conceded,xgot_faced,goals_prevented,sweeper_actions,gk_accurate_passes,gk_accurate_long_balls,dispossessed,high_claim,corners,saves_inside_box,offsides,successful_dribbles_percent,tackles_won_percent,xgot,tackles,start_min,finish_min,team_goals_conceded,penalties_scored,penalties_missed,top_speed,distance_covered,walking_distance,running_distance,sprinting_distance,number_of_sprints,defensive_contributions
446,26-27-friendly-gateshead-fc-vs-newcastle-united-2026-07-25,60.0,0.0,0.0,0,,0.01,0,0,,0.0,66.0,53.0,88.0,0.0,9.0,0,,4.0,36.0,1.0,1.0,1.0,0.0,4.0,2.0,0.0,1.0,2.0,1.0,33.0,0.0,,0,1.0,0,1,,,,,,0.0,,,,,,,,2,0,60,1,0,0,,,,,,,
443,26-27-friendly-gateshead-fc-vs-newcastle-united-2026-07-25,0,0,0,0,,,0,0,,,0,0,,0,,0,,0,,0,0,0,,0,,,,,,,,,0,0,0,0,,,,,,0,,,,,,,,0,0,90,1,0,0,,,,,,,
442,26-27-friendly-gateshead-fc-vs-newcastle-united-2026-07-25,69.0,0,0,0,,,0,0,,,19.0,11,,0,,0,,0,,0.0,0.0,8.0,,1.0,,,,,,,,,0,0.0,0.0,1.0,0.47,-0.53,0.0,11.0,,0,0.0,,0.0,,,,,0,0,69,1,0,0,,,,,,,
457,26-27-friendly-gateshead-fc-vs-newcastle-united-2026-07-25,78.0,0.0,0.0,2.0,0.07,0.02,1.0,1,,4.0,50.0,25.0,81.0,1.0,1.0,0.0,0.0,0,,2.0,0.0,5.0,0.0,1.0,1.0,0.0,6.0,5.0,6.0,55.0,0.0,,3.0,2.0,0,1,,,,,,2.0,,,,,,,0.07,2,0,77,1,0,0,,,,,,,
453,26-27-friendly-gateshead-fc-vs-newcastle-united-2026-07-25,78.0,0.0,0.0,2.0,0.37,0.37,0.0,0,,7.0,51.0,32.0,86.0,3.0,6.0,0,,0,,1.0,0.0,3.0,0.0,0.0,,0.0,1.0,6.0,1.0,14.0,0.0,,0,1.0,0,1,,,,,,2.0,,,,,,,,1,0,77,1,0,0,,,,,,,
460,26-27-friendly-gateshead-fc-vs-newcastle-united-2026-07-25,83.0,0.0,0.0,1.0,0.06,0.1,0.0,0,,8.0,58.0,43.0,86.0,1.0,6.0,0,,2.0,100.0,1.0,0.0,2.0,0.0,0.0,,0.0,3.0,4.0,3.0,43.0,0.0,,2.0,0.0,0,1,,,,,,2.0,,,,,,,,1,0,82,1,0,0,,,,,,,
456,26-27-friendly-gateshead-fc-vs-newcastle-united-2026-07-25,82.0,0.0,0.0,1.0,0.06,0.06,1.0,0,,2.0,64.0,47.0,90.0,0.0,5.0,0,,1.0,100.0,2.0,0.0,1.0,0.0,0.0,,0.0,4.0,2.0,4.0,67.0,0.0,,2.0,0.0,0,1,,,,,,2.0,,,,,,,,2,0,82,1,0,0,,,,,,,
449,26-27-friendly-gateshead-fc-vs-newcastle-united-2026-07-25,82.0,0.0,0.0,1.0,0.03,0.06,0.0,0,,6.0,92.0,56.0,85.0,3.0,12.0,1.0,50.0,3.0,75.0,0.0,0.0,3.0,1.0,3.0,3.0,0.0,4.0,5.0,1.0,17.0,3.0,100.0,1.0,3.0,0,1,,,,,,2.0,,,,,,,,0,0,82,1,0,0,,,,,,,
451,26-27-friendly-gateshead-fc-vs-newcastle-united-2026-07-25,90.0,0.0,0.0,0,,0.02,0,0,,2.0,82.0,66.0,93.0,0.0,4.0,0,,6.0,86.0,1.0,0.0,2.0,0.0,4.0,4.0,0.0,7.0,2.0,3.0,75.0,4.0,80.0,2.0,1.0,0,1,,,,,,0.0,,,,,,,,1,0,90,1,0,0,,,,,,,
466,26-27-friendly-gateshead-fc-vs-newcastle-united-2026-07-25,69.0,0.0,0.0,2.0,0.66,,2.0,2,,4.0,14.0,5.0,100.0,0.0,1.0,0,,0,,0.0,0.0,0.0,0.0,0.0,,0.0,3.0,3.0,3.0,60.0,0.0,0.0,1.0,3.0,0,1,,,,,,0.0,,,,,,,1.02,0,0,69,1,0,0,,,,,,,
212,26-27-friendly-bromley-vs-crystal-palace-2026-07-25,45.0,0.0,0.0,1.0,0.04,0.18,0.0,1,,0.0,28.0,14.0,78.0,1.0,1.0,1.0,50.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,2.0,0.0,2.0,1.0,1.0,100.0,1.0,50.0,0,0.0,0,0,,,,,,0.0,,,,,,,,0,0,46,0,0,0,,,,,,,
199,26-27-friendly-bromley-vs-crystal-palace-2026-07-25,45.0,0,0,0,,,0,0,,,26.0,18,,0,1.0,0,,2,,0.0,0.0,7.0,,1.0,,,,,,,,,0,0.0,0.0,0.0,,,0.0,18.0,2.0,0,0.0,,0.0,,,,,0,0,46,0,0,0,,,,,,,
555,26-27-friendly-bromley-vs-crystal-palace-2026-07-25,0,0,0,0,,,0,0,,,0,0,,0,,0,,0,,0,0,0,,0,,,,,,,,,0,0,0,0,,,,,,0,,,,,,,,0,0,90,3,0,0,,,,,,,
205,26-27-friendly-bromley-vs-crystal-palace-2026-07-25,45.0,0.0,0.0,0,,0.06,0,0,,0.0,47.0,32.0,78.0,2.0,5.0,2.0,100.0,4.0,57.0,1.0,0.0,3.0,0.0,0.0,,0.0,1.0,1.0,1.0,50.0,0.0,,0,1.0,0,3,,,,,,0.0,,,,,,,,0,46,90,3,0,0,,,,,,,
224,26-27-friendly-bromley-vs-crystal-palace-2026-07-25,45.0,0.0,0.0,5.0,0.43,0.32,0.0,0,,9.0,26.0,13.0,76.0,1.0,2.0,0,,0,,0.0,0.0,0.0,0.0,0.0,,0.0,,3.0,0.0,0.0,0.0,0.0,0,1.0,0,3,,,,,,0.0,,,,,,,,0,46,90,3,0,0,,,,,,,
209,26-27-friendly-bromley-vs-crystal-palace-2026-07-25,45.0,0.0,0.0,1.0,0.08,0.18,1.0,0,,3.0,22.0,9.0,75.0,2.0,,1.0,33.0,1.0,50.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,1.0,1.0,50.0,0.0,,1.0,0.0,0,3,,,,,,1.0,,,,,,,0.21,0,46,90,3,0,0,,,,,,,
204,26-27-friendly-bromley-vs-crystal-palace-2026-07-25,45.0,0.0,0.0,2.0,0.08,0.03,0.0,0,,4.0,44.0,20.0,77.0,0.0,3.0,0.0,0.0,1.0,50.0,2.0,1.0,0.0,0.0,0.0,,0.0,2.0,1.0,2.0,67.0,0.0,,0,1.0,0,3,,,,,,0.0,,,,,,,,2,46,90,3,0,0,,,,,,,
