match_id,shot_index,minute,added_time,is_home,player_id,player_name,outcome,situation,body_part,xg,xgot,start_x,start_y,goal_mouth_y,goal_mouth_z,goal_mouth_location
26-27-friendly-auckland-fc-vs-tottenham-hotspur-2026-07-26,1,81,,False,,,miss,corner,head,0.071,,7.2,57,61.3,13.9,left
26-27-friendly-auckland-fc-vs-tottenham-hotspur-2026-07-26,2,80,,False,514,Tel,save,assisted,left-foot,0.081,,8.9,32.9,52.1,18.4,low-left
26-27-friendly-auckland-fc-vs-tottenham-hotspur-2026-07-26,3,79,,True,,,miss,assisted,right-foot,0.098,,4.2,66.6,94.6,12.5,left
26-27-friendly-auckland-fc-vs-tottenham-hotspur-2026-07-26,4,70,,False,527,Richarlison,goal,assisted,left-foot,0.518,,5,45.8,50,16.5,low-centre
26-27-friendly-auckland-fc-vs-tottenham-hotspur-2026-07-26,5,64,,False,514,Tel,block,assisted,right-foot,0.043,,10.6,24.6,51.7,19,low-centre
26-27-friendly-auckland-fc-vs-tottenham-hotspur-2026-07-26,6,63,,True,,,block,assisted,right-foot,0.05,,20.3,47,50.4,19,low-centre
26-27-friendly-auckland-fc-vs-tottenham-hotspur-2026-07-26,7,59,,False,528,Scarlett,save,assisted,head,0.081,,10.3,50.3,48.4,22.8,high-centre
26-27-friendly-auckland-fc-vs-tottenham-hotspur-2026-07-26,8,58,,False,528,Scarlett,block,corner,right-foot,0.209,,7.9,47.4,46.9,19,low-right
26-27-friendly-auckland-fc-vs-tottenham-hotspur-2026-07-26,9,58,,False,,,miss,corner,head,0.633,,3,50.5,62.4,11.1,left
26-27-friendly-auckland-fc-vs-tottenham-hotspur-2026-07-26,10,57,,False,528,Scarlett,block,regular,right-foot,0.058,,14.5,66.2,48.1,19,low-right
26-27-friendly-auckland-fc-vs-tottenham-hotspur-2026-07-26,11,49,,True,,,save,assisted,right-foot,0.091,,12.8,60.6,45.8,24,high-right
26-27-friendly-auckland-fc-vs-tottenham-hotspur-2026-07-26,12,47,,True,,,block,fast-break,left-foot,0.356,,9.1,47.4,50.2,19,low-centre
26-27-friendly-auckland-fc-vs-tottenham-hotspur-2026-07-26,13,44,,True,,,save,assisted,right-foot,0.317,,7.1,54.8,51.6,1.3,low-centre
26-27-friendly-auckland-fc-vs-tottenham-hotspur-2026-07-26,14,37,,False,528,Scarlett,save,fast-break,left-foot,0.112,,17.2,55.4,51,27.2,high-centre
26-27-friendly-auckland-fc-vs-tottenham-hotspur-2026-07-26,15,36,,False,,,block,corner,right-foot,0.025,,22.6,50,49.2,19,low-centre
26-27-friendly-auckland-fc-vs-tottenham-hotspur-2026-07-26,16,35,,False,,,miss,assisted,left-foot,0.021,,31.3,60.6,43.5,9.7,close-right
26-27-friendly-auckland-fc-vs-tottenham-hotspur-2026-07-26,17,35,,False,,,miss,assisted,right-foot,0.061,,11.5,31,1,20.8,right
26-27-friendly-auckland-fc-vs-tottenham-hotspur-2026-07-26,18,31,,False,528,Scarlett,miss,assisted,head,0.221,,6.2,46.9,86,30.6,left
26-27-friendly-auckland-fc-vs-tottenham-hotspur-2026-07-26,19,27,,False,523,Moore,block,set-piece,left-foot,0.062,,14.2,53.6,52.2,19,low-left
26-27-friendly-auckland-fc-vs-tottenham-hotspur-2026-07-26,20,27,,False,528,Scarlett,miss,set-piece,right-foot,0.081,,12.6,52.1,33.3,16.7,right
26-27-friendly-auckland-fc-vs-tottenham-hotspur-2026-07-26,21,25,,False,,,block,fast-break,right-foot,0.161,,14.5,51.7,50.6,19,low-centre
26-27-friendly-auckland-fc-vs-tottenham-hotspur-2026-07-26,22,24,,False,,,miss,regular,left-foot,0.044,,13.9,72.4,58.7,16.7,close-left
26-27-friendly-auckland-fc-vs-tottenham-hotspur-2026-07-26,23,18,,False,523,Moore,miss,assisted,left-foot,0.074,,9.7,32.3,26.7,12.5,right
26-27-friendly-auckland-fc-vs-tottenham-hotspur-2026-07-26,24,16,,True,,,miss,assisted,right-foot,0.087,,12.8,38.5,38.8,2.8,right
26-27-friendly-auckland-fc-vs-tottenham-hotspur-2026-07-26,25,12,,False,528,Scarlett,goal,regular,right-foot,0.632,,4.8,48.1,52.7,2.5,low-left
26-27-friendly-auckland-fc-vs-tottenham-hotspur-2026-07-26,26,12,,False,,,save,assisted,right-foot,0.284,,8,53.6,51.3,6.3,low-centre
26-27-friendly-auckland-fc-vs-tottenham-hotspur-2026-07-26,27,9,,False,,,block,corner,right-foot,0.027,,20.4,40.1,49.7,19,low-centre
26-27-friendly-auckland-fc-vs-tottenham-hotspur-2026-07-26,28,6,,True,,,miss,assisted,right-foot,0.058,,18.8,49.1,65.4,4.2,left
26-27-friendly-auckland-fc-vs-tottenham-hotspur-2026-07-26,29,5,,True,,,block,fast-break,left-foot,0.062,,16.4,74.5,50.3,19,low-centre
26-27-friendly-auckland-fc-vs-tottenham-hotspur-2026-07-26,30,4,,False,,,miss,assisted,head,0.105,,9.2,50,64,22.2,left
26-27-friendly-auckland-fc-vs-tottenham-hotspur-2026-07-26,31,2,,True,,,save,assisted,right-foot,0.04,,21.2,38.5,52.2,11.4,low-left
26-27-friendly-bromley-vs-crystal-palace-2026-07-25,1,90,,False,224,Nketiah,block,assisted,head,0.034,,14.3,57.6,49.1,19,low-centre
26-27-friendly-bromley-vs-crystal-palace-2026-07-25,2,86,,True,,,goal,assisted,head,0.079,,4.3,61.6,54.6,10.8,low-left
26-27-friendly-bromley-vs-crystal-palace-2026-07-25,3,84,,False,,,miss,corner,head,0.046,,9.9,44.3,47.7,68.1,high
26-27-friendly-bromley-vs-crystal-palace-2026-07-25,4,84,,False,224,Nketiah,block,assisted,left-foot,0.081,,15.7,53.3,50.2,19,low-centre
26-27-friendly-bromley-vs-crystal-palace-2026-07-25,5,82,,False,224,Nketiah,miss,assisted,left-foot,0.03,,26.3,53.1,43.4,2.8,close-right
26-27-friendly-bromley-vs-crystal-palace-2026-07-25,6,80,,False,224,Nketiah,block,throw-in-set-piece,right-foot,0.121,,9.7,55.5,50,19,low-centre
26-27-friendly-bromley-vs-crystal-palace-2026-07-25,7,77,,False,204,Mitchell,block,assisted,left-foot,0.063,,13,33,50.2,19,low-centre
26-27-friendly-bromley-vs-crystal-palace-2026-07-25,8,75,,True,,,goal,penalty,right-foot,0.79,,11.4,50.3,45.9,6.3,low-right
26-27-friendly-bromley-vs-crystal-palace-2026-07-25,9,68,,False,221,Drakes-Thomas,miss,assisted,right-foot,0.277,,7.8,45.3,57.5,9.7,close-left
26-27-friendly-bromley-vs-crystal-palace-2026-07-25,10,67,,False,,,save,regular,left-foot,0.313,,7.6,46.6,51.1,19,low-centre
26-27-friendly-bromley-vs-crystal-palace-2026-07-25,11,65,,False,,,miss,assisted,head,0.052,,9.7,60.6,57.6,13.9,close-left
26-27-friendly-bromley-vs-crystal-palace-2026-07-25,12,62,,True,,,goal,assisted,right-foot,0.061,,18.1,45.5,46.6,8.2,low-right
26-27-friendly-bromley-vs-crystal-palace-2026-07-25,13,61,,False,224,Nketiah,block,corner,left-foot,0.18,,6.3,42.1,52.6,19,low-left
26-27-friendly-bromley-vs-crystal-palace-2026-07-25,14,60,,False,209,Johnson,save,regular,left-foot,0.051,,18.5,61.2,53.1,4.4,low-left
26-27-friendly-bromley-vs-crystal-palace-2026-07-25,15,51,,True,,,miss,assisted,right-foot,0.045,,16,30.3,42.2,15.3,close-right
26-27-friendly-bromley-vs-crystal-palace-2026-07-25,16,50,,True,,,save,free-kick,left-foot,0.035,,31.2,34.8,54.6,13.9,low-left
26-27-friendly-bromley-vs-crystal-palace-2026-07-25,17,48,,False,204,Mitchell,miss,free-kick,right-foot,0.048,,20.3,23.5,56.1,8.3,close-left
26-27-friendly-bromley-vs-crystal-palace-2026-07-25,18,32,,True,,,miss,fast-break,head,0.1,,8.7,60.7,40,13.9,right
26-27-friendly-bromley-vs-crystal-palace-2026-07-25,19,31,,False,212,Hughes,block,regular,left-foot,0.049,,19.7,41.4,53.7,19,low-left
26-27-friendly-bromley-vs-crystal-palace-2026-07-25,20,31,,False,215,Devenny,save,regular,right-foot,0.058,,14.3,66.6,47.1,19,low-right
26-27-friendly-bromley-vs-crystal-palace-2026-07-25,21,31,,False,,,save,regular,right-foot,0.187,,8.1,41.2,53.3,15.8,low-left
26-27-friendly-bromley-vs-crystal-palace-2026-07-25,22,31,,False,,,save,regular,right-foot,0.062,,13.8,34,52.2,10.1,low-left
26-27-friendly-bromley-vs-crystal-palace-2026-07-25,23,28,,False,,,miss,assisted,right-foot,0.241,,9.2,49.5,52.4,83.3,high
26-27-friendly-bromley-vs-crystal-palace-2026-07-25,24,27,,False,216,Esse,block,assisted,left-foot,0.044,,20.6,60.1,48.2,19,low-centre
26-27-friendly-bromley-vs-crystal-palace-2026-07-25,25,22,,True,,,block,throw-in-set-piece,left-foot,0.027,,12.3,25.9,52.3,19,low-left
26-27-friendly-bromley-vs-crystal-palace-2026-07-25,26,14,,False,219,J.Rak-Sakyi,miss,assisted,left-foot,0.071,,13,35.2,57,5.6,close-left
26-27-friendly-bromley-vs-crystal-palace-2026-07-25,27,11,,False,216,Esse,save,assisted,left-foot,0.16,,11.3,49.1,50.3,19.6,low-centre
26-27-friendly-bromley-vs-crystal-palace-2026-07-25,28,11,,False,,,save,assisted,left-foot,0.163,,9,41.1,52.2,13.3,low-left
26-27-friendly-bromley-vs-crystal-palace-2026-07-25,29,4,,False,,,miss,assisted,head,0.147,,6.3,43.6,60.7,4.2,left
26-27-friendly-bromley-vs-crystal-palace-2026-07-25,30,4,,False,220,Cardines,save,assisted,right-foot,0.046,,12.6,73,47.5,30.4,high-right
26-27-friendly-bromley-vs-crystal-palace-2026-07-25,31,3,,True,,,miss,set-piece,head,0.083,,7,43.9,60.5,12.5,left
26-27-friendly-crystal-palace-vs-swindon-town-2026-07-18,1,90,,False,,,miss,set-piece,head,0.11,,6.8,45.9,51.6,56.9,close-high
26-27-friendly-crystal-palace-vs-swindon-town-2026-07-18,2,82,,True,,,goal,regular,right-foot,0.187,,10,45.8,45.7,7.6,low-right
26-27-friendly-crystal-palace-vs-swindon-town-2026-07-18,3,71,,True,209,Johnson,miss,assisted,left-foot,0.066,,9,69.8,58,91.7,high-left
26-27-friendly-crystal-palace-vs-swindon-town-2026-07-18,4,67,,True,209,Johnson,miss,assisted,head,0.048,,10.7,60,59,8.3,close-left
26-27-friendly-crystal-palace-vs-swindon-town-2026-07-18,5,59,,True,,,goal,penalty,right-foot,0.79,,11.5,50,54.1,5.1,low-left
26-27-friendly-crystal-palace-vs-swindon-town-2026-07-18,6,56,,True,,,goal,regular,right-foot,0.058,,15.1,65.3,49,14.6,low-centre
26-27-friendly-crystal-palace-vs-swindon-town-2026-07-18,7,55,,False,,,save,assisted,right-foot,0.06,,18.2,54.2,52,20.9,high-left
26-27-friendly-crystal-palace-vs-swindon-town-2026-07-18,8,50,,False,,,block,assisted,left-foot,0.038,,17.8,28.9,50.4,19,low-centre
