season,player_id,player_name,external_availability,external_injury_risk,contract_until,market_value_eur
2026-2027,3,Meslier,available,Unlikely,2026-06-30,9300000
2026-2027,5,J.Timber,available,Not Specifically,2028-06-30,73000000
2026-2027,6,Saliba,available,Unlikely,2030-06-30,94000000
2026-2027,7,Lewis-Skelly,available,Unlikely,2030-06-30,48000000
2026-2027,8,Calafiori,available,Not Specifically,2029-06-30,53000000
2026-2027,9,Hincapie,available,Unlikely,2031-06-30,46000000
2026-2027,11,Mosquera,available,Not Specifically,2030-06-30,38000000
2026-2027,12,Saka,available,Unlikely,2030-06-30,115000000
2026-2027,13,Rice,available,Unlikely,2028-06-30,114000000
2026-2027,14,Eze,available,Somewhat,2029-06-30,69000000
2026-2027,15,Ødegaard,available,Unlikely,2028-06-30,71000000
2026-2027,16,Madueke,available,Somewhat,2030-06-30,54000000
2026-2027,20,Dowman,available,,,31000000
2026-2027,21,Nørgaard,available,Not Specifically,2027-06-30,4800000
2026-2027,22,Nwaneri,available,Unlikely,2026-06-30,39000000
2026-2027,24,Nelson,available,Somewhat,2026-06-30,8800000
2026-2027,25,Gyökeres,available,Not Specifically,2030-06-30,61000000
2026-2027,26,Havertz,available,Not Specifically,2028-06-30,53000000
2026-2027,29,M.Bizot,available,Unlikely,2027-06-30,1400000
2026-2027,30,Digne,available,Not Specifically,2028-06-30,5500000
2026-2027,32,Cash,available,Not Specifically,2029-06-30,19800000
2026-2027,33,Mings,available,Not Specifically,2027-06-30,3200000
2026-2027,34,Pau,available,Somewhat,2028-06-30,21000000
2026-2027,35,Bogarde,available,Unlikely,2028-06-30,17500000
2026-2027,36,Maatsen,available,Unlikely,2030-06-30,28000000
2026-2027,37,Lindelöf,available,Not Specifically,2027-06-30,4800000
2026-2027,39,Nedeljkovic,available,Not Specifically,2029-06-30,6600000
2026-2027,40,Rogers,available,Very Unlikely,2031-06-30,77000000
2026-2027,42,Guessand,available,Unlikely,2026-06-30,24000000
2026-2027,43,Tielemans,available,,2028-06-30,33000000
2026-2027,44,Bailey,available,,2027-06-30,13100000
2026-2027,45,McGinn,available,Unlikely,2028-06-30,12600000
2026-2027,46,Barkley,available,Somewhat,2027-06-30,3600000
2026-2027,47,Kamara,injured,Not Specifically,2030-06-30,39000000
2026-2027,48,Onana,injured,Somewhat,2029-06-30,41000000
2026-2027,49,Iling Jr,available,Unlikely,2026-06-30,7800000
2026-2027,50,Burrowes,available,,,1800000
2026-2027,51,George Hemmings,available,,,860000
2026-2027,53,Manzambi,available,Unlikely,2030-06-30,54000000
2026-2027,54,Gomes,available,,2030-06-30,32000000
2026-2027,55,Watkins,available,Unlikely,2028-06-30,26000000
2026-2027,56,Abraham,available,Not Specifically,2030-06-30,16500000
2026-2027,57,Petrović,available,Not Specifically,2030-06-30,29000000
2026-2027,58,Forster,available,,2026-06-30,440000
2026-2027,59,Dennis,available,Unlikely,2026-06-30,360000
2026-2027,60,Hill,available,,2029-06-30,24000000
2026-2027,61,Truffert,available,Unlikely,2030-06-30,28000000
2026-2027,62,Diakité,available,Unlikely,2030-06-30,23000000
2026-2027,63,Milosavljević,available,Unlikely,2030-06-30,18600000
2026-2027,64,Smith,available,Unlikely,2027-06-30,310000
2026-2027,68,Tavernier,available,Unlikely,2029-06-30,23000000
2026-2027,69,Scott,available,Unlikely,2028-06-30,53000000
2026-2027,70,Kluivert,available,Not Specifically,2028-06-30,24000000
2026-2027,71,Cook,available,Very Unlikely,2028-06-30,11600000
2026-2027,72,Gannon-Doak,available,Not Specifically,2030-06-30,14600000
2026-2027,73,Adams,available,Unlikely,2028-06-30,26000000
2026-2027,74,Brooks,available,Not Specifically,2029-06-30,11000000
2026-2027,75,Christie,available,Unlikely,2029-06-30,8600000
2026-2027,76,Tóth.A,available,Unlikely,2031-06-30,13100000
2026-2027,77,Adli,available,Unlikely,2030-06-30,18100000
2026-2027,80,Enes Ünal,available,Somewhat,2028-06-30,6800000
2026-2027,81,Rodríguez,available,Somewhat,2029-06-30,9100000
2026-2027,82,Kelleher,available,Unlikely,2030-06-30,25000000
2026-2027,83,Valdimarsson,available,Unlikely,2030-06-30,2600000
2026-2027,84,Collins,available,Very Unlikely,2029-06-30,29000000
2026-2027,85,Van den Berg,available,Not Specifically,2029-06-30,33000000
2026-2027,86,Lewis-Potter,available,Unlikely,2031-06-30,24000000
2026-2027,87,Ajer,available,Somewhat,2030-06-30,19500000
2026-2027,88,Kayode,available,Unlikely,2030-06-30,39000000
2026-2027,89,Henry,available,Not Specifically,2027-06-30,13800000
2026-2027,90,Hickey,available,Not Specifically,2028-06-30,16500000
2026-2027,91,Pinnock,available,Not Specifically,2027-06-30,2800000
2026-2027,92,Ji-soo,available,,2027-06-30,1900000
2026-2027,93,Schuster,available,,2031-06-30,16500000
2026-2027,94,Schade,available,Unlikely,2028-06-30,36000000
2026-2027,95,O.Dango,available,,2030-06-30,36000000
2026-2027,96,Damsgaard,available,Not Specifically,2030-06-30,29000000
2026-2027,97,Jensen,available,Somewhat,2027-06-30,10400000
2026-2027,98,Janelt,available,Unlikely,2030-06-30,16600000
2026-2027,99,Milambo,available,Not Specifically,2030-06-30,15500000
2026-2027,101,Henderson,injured,Not Specifically,2027-06-30,1300000
2026-2027,102,Yarmoliuk,available,Unlikely,2031-06-30,30000000
2026-2027,103,Dasilva,available,Extremely,2027-06-30,1500000
2026-2027,104,Onyeka,available,Unlikely,2030-06-30,7700000
2026-2027,105,Anthony,available,Unlikely,2030-06-30,19400000
2026-2027,107,Furo,available,Unlikely,2031-06-30,7600000
2026-2027,108,Wilson,available,Extremely,2027-06-30,4300000
2026-2027,109,Verbruggen,available,Not Specifically,2028-06-30,37000000
2026-2027,110,Rushworth,available,Somewhat,2027-06-30,15500000
2026-2027,111,Steele,available,,2027-06-30,480000
2026-2027,112,Van Hecke,available,Very Unlikely,2027-06-30,49000000
2026-2027,113,F.Kadıoğlu,available,Unlikely,2028-06-30,36000000
2026-2027,114,Boscagli,available,Unlikely,2030-06-30,13900000
2026-2027,115,De Cuyper,available,,2030-06-30,21000000
2026-2027,116,Dunk,available,Unlikely,2027-06-30,3600000
2026-2027,120,Svoboda,available,,2029-06-30,2900000
2026-2027,122,Minteh,available,Unlikely,2029-06-30,42000000
2026-2027,123,Hinshelwood,available,Unlikely,2029-06-30,27000000
2026-2027,124,Groß,available,Unlikely,2027-06-30,2300000
2026-2027,125,Georginio,available,Unlikely,2028-06-30,31000000
2026-2027,126,O'Riley,available,Very Unlikely,2029-06-30,16500000
2026-2027,128,Buonanotte,available,Unlikely,2026-06-30,14600000
2026-2027,129,Ayari,available,Unlikely,2027-06-30,32000000
2026-2027,130,Wieffer,available,Unlikely,2029-06-30,24000000
2026-2027,131,Baleba,available,Unlikely,2028-06-30,53000000
2026-2027,132,Howell,available,Somewhat,,7300000
2026-2027,133,Watson,available,Not Specifically,2029-06-30,7500000
2026-2027,134,Oriola,available,,,195000
2026-2027,135,Yohanna,injured,,2029-12-31,460000
2026-2027,136,Welbeck,available,Somewhat,2027-06-30,3100000
2026-2027,137,Tzimas,available,Unlikely,2030-06-30,18500000
2026-2027,138,Kostoulas,available,,2030-06-30,27000000
2026-2027,139,Ferguson,available,,2026-06-30,21000000
2026-2027,142,James,available,Somewhat,2032-06-30,63000000
2026-2027,143,Chalobah,available,Unlikely,2028-06-30,43000000
2026-2027,144,Gusto,available,Not Specifically,2030-06-30,36000000
2026-2027,145,Fofana,available,Somewhat,2029-06-30,29000000
2026-2027,147,Tosin,available,Not Specifically,2028-06-30,16500000
2026-2027,148,Hato,available,Very Unlikely,2032-06-30,41000000
2026-2027,150,M.Sarr,available,Unlikely,2033-06-30,24000000
2026-2027,151,Acheampong,available,Somewhat,2029-06-30,24000000
2026-2027,152,Palestra,available,Not Specifically,2026-06-30,36000000
2026-2027,153,Disasi,available,Unlikely,2026-06-30,15500000
2026-2027,154,Palmer,available,Not Specifically,2033-06-30,92000000
2026-2027,155,Enzo,available,,2032-06-30,87000000
2026-2027,161,Lavia,available,,2030-06-30,21000000
2026-2027,164,Quenda,available,Very Unlikely,2027-06-30,45000000
2026-2027,166,N.Jackson,available,,2026-06-30,39000000
2026-2027,167,Delap,available,Somewhat,2031-06-30,26000000
2026-2027,169,Mheuka,available,Not Specifically,,2900000
2026-2027,170,Emegha,available,Not Specifically,2028-06-30,29000000
2026-2027,171,Dovin,available,Unlikely,2028-06-30,2200000
2026-2027,172,Wilson,available,,2027-06-30,290000
2026-2027,173,Thomas,available,Unlikely,2029-06-30,16500000
2026-2027,174,Kitching,available,Unlikely,2027-06-30,15200000
2026-2027,175,van Ewijk,available,Unlikely,2027-06-30,23000000
2026-2027,176,Dasilva,available,Very Unlikely,2027-06-30,8700000
2026-2027,177,Kesler-Hayden,available,Very Unlikely,2029-06-30,3200000
2026-2027,178,Bidwell,available,Unlikely,2027-06-30,580000
2026-2027,179,Latibeaudiere,available,Unlikely,2027-06-30,3300000
2026-2027,180,Woolfenden,available,Unlikely,2028-06-30,2100000
2026-2027,182,Amenda,available,Not Specifically,2029-06-30,10300000
2026-2027,183,Rudoni,available,Unlikely,2028-06-30,21000000
2026-2027,184,Grimes,available,Very Unlikely,2028-06-30,5200000
2026-2027,185,Sakamoto,available,Unlikely,2027-06-30,4300000
2026-2027,186,Mason-Clark,available,,2028-06-30,17200000
2026-2027,187,Eccles,available,Somewhat,2028-06-30,9600000
2026-2027,188,Torp,available,Unlikely,2028-06-30,14500000
2026-2027,189,Shepherd,available,,,
2026-2027,190,Tchaouna,available,Very Unlikely,2031-06-30,13800000
2026-2027,193,Wright,available,,2027-06-30,16600000
2026-2027,194,Thomas-Asante,available,,2028-06-30,16500000
2026-2027,195,Simms,available,Unlikely,2027-06-30,11500000
2026-2027,196,Markelo,available,Not Specifically,2030-06-30,3300000
2026-2027,197,Bassette,available,Unlikely,2028-06-30,1500000
2026-2027,198,Henderson,available,Not Specifically,2028-06-30,29000000
2026-2027,199,Benitez,available,,2028-06-30,3700000
2026-2027,200,Lacroix,available,Unlikely,2029-06-30,54000000
2026-2027,202,Richards,available,Not Specifically,2027-06-30,25000000
2026-2027,203,Canvot,available,Unlikely,2029-06-30,25000000
2026-2027,204,Mitchell,available,Very Unlikely,2027-06-30,23000000
2026-2027,205,Sosa,available,,2028-06-30,2700000
2026-2027,207,Mingueza,available,Unlikely,2026-06-30,18700000
2026-2027,208,Sarr,available,Unlikely,2029-06-30,38000000
2026-2027,209,Johnson,available,Unlikely,2030-06-30,32000000
2026-2027,210,Wharton,available,Not Specifically,2029-06-30,74000000
2026-2027,212,Hughes,available,Not Specifically,2027-06-30,4600000
2026-2027,214,Kamada,available,Unlikely,2026-06-30,10300000
2026-2027,215,Devenny,available,Very Unlikely,2027-06-30,11500000
2026-2027,216,Esse,available,Unlikely,2030-06-30,10900000
2026-2027,218,Doucouré,injured,,2029-06-30,10600000
2026-2027,219,J.Rak-Sakyi,available,Not Specifically,2027-06-30,5600000
2026-2027,220,Cardines,available,,2028-06-30,290000
2026-2027,221,Drakes-Thomas,available,Unlikely,,905000
2026-2027,222,Strand Larsen,available,Unlikely,2030-06-30,41000000
2026-2027,223,Mateta,available,Unlikely,2027-06-30,29000000
2026-2027,224,Nketiah,injured,Not Specifically,2029-06-30,10300000
2026-2027,226,Pickford,available,Unlikely,2029-06-30,13900000
2026-2027,227,Travers,available,Not Specifically,2029-06-30,2800000
2026-2027,228,King,available,Very Unlikely,2027-06-30,96000
2026-2027,229,Tarkowski,available,Very Unlikely,2028-06-30,5200000
2026-2027,230,Branthwaite,available,Unlikely,2030-06-30,41000000
2026-2027,231,Keane,available,Not Specifically,2027-06-30,2800000
2026-2027,232,O'Brien,available,Unlikely,2028-06-30,16500000
2026-2027,234,Patterson,available,Somewhat,2027-06-30,16300000
2026-2027,235,Aznou,available,Unlikely,2029-06-30,6200000
2026-2027,236,Dewsbury-Hall,available,Unlikely,2030-06-30,38000000
2026-2027,237,Ndiaye,available,Unlikely,2029-06-30,53000000
2026-2027,238,Grealish,available,Unlikely,2026-06-30,21000000
2026-2027,239,Garner,available,Very Unlikely,2030-06-30,48000000
2026-2027,240,Iroegbunam,available,Unlikely,2027-06-30,18500000
2026-2027,241,McNeil,available,Unlikely,2027-06-30,18800000
2026-2027,242,George,available,Not Specifically,2026-06-30,21000000
2026-2027,244,Armstrong,available,Unlikely,2028-06-30,12400000
