entity,season,canonical_id,canonical_name,resolution_method,confidence
event,2025-2026,25-26-prem-brighton-hove-albion-vs-leeds-united,Brighton v Leeds,canonical_home_away_pair,high
event,2025-2026,25-26-prem-burnley-vs-arsenal,Burnley v Arsenal,canonical_home_away_pair,high
event,2025-2026,25-26-prem-crystal-palace-vs-brentford,Crystal Palace v Brentford,canonical_home_away_pair,high
event,2025-2026,25-26-prem-fulham-vs-wolverhampton-wanderers,Fulham v Wolves,canonical_home_away_pair,high
event,2025-2026,25-26-prem-liverpool-vs-aston-villa,Liverpool v Aston Villa,canonical_home_away_pair,high
event,2025-2026,25-26-prem-manchester-city-vs-afc-bournemouth,Man City v Bournemouth,canonical_home_away_pair,high
event,2025-2026,25-26-prem-nottingham-forest-vs-manchester-united,Nott'm Forest v Man Utd,canonical_home_away_pair,high
event,2025-2026,25-26-prem-sunderland-vs-everton,Sunderland v Everton,canonical_home_away_pair,high
event,2025-2026,25-26-prem-tottenham-hotspur-vs-chelsea,Spurs v Chelsea,canonical_home_away_pair,high
event,2025-2026,25-26-prem-west-ham-united-vs-newcastle-united,West Ham v Newcastle,canonical_home_away_pair,high
event,2026-2027,26-27-friendly-afc-bournemouth-vs-genoa-2026-08-04,26-27-friendly-afc-bournemouth-vs-genoa-2026-08-04,evaluator_exact_opponents_and_kickoff,high
event,2026-2027,26-27-friendly-afc-bournemouth-vs-st.-pauli-2026-07-24,26-27-friendly-afc-bournemouth-vs-st.-pauli-2026-07-24,evaluator_exact_opponents_and_kickoff,high
event,2026-2027,26-27-friendly-annecy-fc-vs-brighton-hove-albion-2026-07-25,26-27-friendly-annecy-fc-vs-brighton-hove-albion-2026-07-25,evaluator_exact_opponents_and_kickoff,high
event,2026-2027,26-27-friendly-arsenal-vs-como-2026-08-12,26-27-friendly-arsenal-vs-como-2026-08-12,evaluator_exact_opponents_and_kickoff,high
event,2026-2027,26-27-friendly-arsenal-vs-real-betis-2026-08-05,26-27-friendly-arsenal-vs-real-betis-2026-08-05,evaluator_exact_opponents_and_kickoff,high
event,2026-2027,26-27-friendly-aston-villa-vs-real-sociedad-2026-07-28,26-27-friendly-aston-villa-vs-real-sociedad-2026-07-28,evaluator_exact_opponents_and_kickoff,high
event,2026-2027,26-27-friendly-augsburg-vs-afc-bournemouth-2026-07-30,26-27-friendly-augsburg-vs-afc-bournemouth-2026-07-30,evaluator_exact_opponents_and_kickoff,high
event,2026-2027,26-27-friendly-bayern-münchen-vs-aston-villa-2026-08-07,26-27-friendly-bayern-münchen-vs-aston-villa-2026-08-07,evaluator_exact_opponents_and_kickoff,high
event,2026-2027,26-27-friendly-bg-pathum-united-vs-aston-villa-2026-08-04,26-27-friendly-bg-pathum-united-vs-aston-villa-2026-08-04,evaluator_exact_opponents_and_kickoff,high
event,2026-2027,26-27-friendly-bolton-wanderers-vs-everton-2026-07-25,26-27-friendly-bolton-wanderers-vs-everton-2026-07-25,evaluator_exact_opponents_and_kickoff,high
event,2026-2027,26-27-friendly-brighton-hove-albion-vs-bologna-2026-08-15,26-27-friendly-brighton-hove-albion-vs-bologna-2026-08-15,evaluator_exact_opponents_and_kickoff,high
event,2026-2027,26-27-friendly-bristol-city-vs-newcastle-united-2026-07-29,26-27-friendly-bristol-city-vs-newcastle-united-2026-07-29,evaluator_exact_opponents_and_kickoff,high
event,2026-2027,26-27-friendly-bromley-vs-crystal-palace-2026-07-25,26-27-friendly-bromley-vs-crystal-palace-2026-07-25,evaluator_exact_opponents_and_kickoff,high
event,2026-2027,26-27-friendly-chelsea-vs-juventus-2026-08-05,26-27-friendly-chelsea-vs-juventus-2026-08-05,evaluator_exact_opponents_and_kickoff,high
event,2026-2027,26-27-friendly-chelsea-vs-milan-2026-08-08,26-27-friendly-chelsea-vs-milan-2026-08-08,evaluator_exact_opponents_and_kickoff,high
event,2026-2027,26-27-friendly-chelsea-vs-tottenham-hotspur-2026-08-01,Chelsea v Spurs,evaluator_exact_opponents_and_kickoff,high
event,2026-2027,26-27-friendly-coventry-city-vs-espanyol-2026-08-08,26-27-friendly-coventry-city-vs-espanyol-2026-08-08,evaluator_exact_opponents_and_kickoff,high
event,2026-2027,26-27-friendly-crystal-palace-vs-swindon-town-2026-07-18,26-27-friendly-crystal-palace-vs-swindon-town-2026-07-18,evaluator_exact_opponents_and_kickoff,high
event,2026-2027,26-27-friendly-dundee-fc-vs-everton-2026-07-18,26-27-friendly-dundee-fc-vs-everton-2026-07-18,evaluator_exact_opponents_and_kickoff,high
event,2026-2027,26-27-friendly-eintracht-frankfurt-vs-brentford-2026-08-15,26-27-friendly-eintracht-frankfurt-vs-brentford-2026-08-15,evaluator_exact_opponents_and_kickoff,high
event,2026-2027,26-27-friendly-eintracht-frankfurt-vs-hull-city-2026-08-08,26-27-friendly-eintracht-frankfurt-vs-hull-city-2026-08-08,evaluator_exact_opponents_and_kickoff,high
event,2026-2027,26-27-friendly-everton-vs-lille-2026-08-15,26-27-friendly-everton-vs-lille-2026-08-15,evaluator_exact_opponents_and_kickoff,high
event,2026-2027,26-27-friendly-everton-vs-newcastle-united-2026-08-12,Everton v Newcastle,evaluator_exact_opponents_and_kickoff,high
event,2026-2027,26-27-friendly-fc-porto-vs-aston-villa-2026-07-25,26-27-friendly-fc-porto-vs-aston-villa-2026-07-25,evaluator_exact_opponents_and_kickoff,high
event,2026-2027,26-27-friendly-freiburg-vs-crystal-palace-2026-08-15,26-27-friendly-freiburg-vs-crystal-palace-2026-08-15,evaluator_exact_opponents_and_kickoff,high
event,2026-2027,26-27-friendly-fulham-vs-vfb-stuttgart-2026-08-15,26-27-friendly-fulham-vs-vfb-stuttgart-2026-08-15,evaluator_exact_opponents_and_kickoff,high
event,2026-2027,26-27-friendly-gateshead-fc-vs-newcastle-united-2026-07-25,26-27-friendly-gateshead-fc-vs-newcastle-united-2026-07-25,evaluator_exact_opponents_and_kickoff,high
event,2026-2027,26-27-friendly-girona-vs-arsenal-2026-08-01,26-27-friendly-girona-vs-arsenal-2026-08-01,evaluator_exact_opponents_and_kickoff,high
event,2026-2027,26-27-friendly-hamburger-sv-vs-everton-2026-08-01,26-27-friendly-hamburger-sv-vs-everton-2026-08-01,evaluator_exact_opponents_and_kickoff,high
event,2026-2027,26-27-friendly-hull-city-vs-nice-2026-08-15,26-27-friendly-hull-city-vs-nice-2026-08-15,evaluator_exact_opponents_and_kickoff,high
event,2026-2027,26-27-friendly-johor-darul-ta'zim-vs-chelsea-2026-08-09,26-27-friendly-johor-darul-ta'zim-vs-chelsea-2026-08-09,evaluator_exact_opponents_and_kickoff,high
event,2026-2027,26-27-friendly-kasımpaşa-vs-hull-city-2026-08-01,26-27-friendly-kasımpaşa-vs-hull-city-2026-08-01,evaluator_exact_opponents_and_kickoff,high
event,2026-2027,26-27-friendly-konyaspor-vs-hull-city-2026-07-25,26-27-friendly-konyaspor-vs-hull-city-2026-07-25,evaluator_exact_opponents_and_kickoff,high
event,2026-2027,26-27-friendly-leeds-united-vs-augsburg-2026-08-15,26-27-friendly-leeds-united-vs-augsburg-2026-08-15,evaluator_exact_opponents_and_kickoff,high
event,2026-2027,26-27-friendly-leeds-united-vs-rb-leipzig-2026-08-08,26-27-friendly-leeds-united-vs-rb-leipzig-2026-08-08,evaluator_exact_opponents_and_kickoff,high
event,2026-2027,26-27-friendly-leeds-united-vs-sunderland-2026-07-30,Leeds v Sunderland,evaluator_exact_opponents_and_kickoff,high
event,2026-2027,26-27-friendly-leeds-united-vs-wrexham-2026-07-25,26-27-friendly-leeds-united-vs-wrexham-2026-07-25,evaluator_exact_opponents_and_kickoff,high
event,2026-2027,26-27-friendly-liverpool-vs-como-2026-08-16,26-27-friendly-liverpool-vs-como-2026-08-16,evaluator_exact_opponents_and_kickoff,high
event,2026-2027,26-27-friendly-liverpool-vs-leeds-united-2026-08-02,Liverpool v Leeds,evaluator_exact_opponents_and_kickoff,high
event,2026-2027,26-27-friendly-liverpool-vs-sunderland-2026-07-25,Liverpool v Sunderland,evaluator_exact_opponents_and_kickoff,high
event,2026-2027,26-27-friendly-liverpool-vs-wrexham-2026-07-29,26-27-friendly-liverpool-vs-wrexham-2026-07-29,evaluator_exact_opponents_and_kickoff,high
event,2026-2027,26-27-friendly-manchester-city-vs-atletico-madrid-2026-08-09,26-27-friendly-manchester-city-vs-atletico-madrid-2026-08-09,evaluator_exact_opponents_and_kickoff,high
event,2026-2027,26-27-friendly-manchester-city-vs-inter-2026-08-01,26-27-friendly-manchester-city-vs-inter-2026-08-01,evaluator_exact_opponents_and_kickoff,high
event,2026-2027,26-27-friendly-manchester-united-vs-atletico-madrid-2026-08-01,26-27-friendly-manchester-united-vs-atletico-madrid-2026-08-01,evaluator_exact_opponents_and_kickoff,high
event,2026-2027,26-27-friendly-manchester-united-vs-leeds-united-2026-08-12,Man Utd v Leeds,evaluator_exact_opponents_and_kickoff,high
event,2026-2027,26-27-friendly-manchester-united-vs-milan-2026-08-15,26-27-friendly-manchester-united-vs-milan-2026-08-15,evaluator_exact_opponents_and_kickoff,high
event,2026-2027,26-27-friendly-manchester-united-vs-paris-saint-germain-2026-08-08,26-27-friendly-manchester-united-vs-paris-saint-germain-2026-08-08,evaluator_exact_opponents_and_kickoff,high
event,2026-2027,26-27-friendly-manchester-united-vs-wrexham-2026-07-18,26-27-friendly-manchester-united-vs-wrexham-2026-07-18,evaluator_exact_opponents_and_kickoff,high
event,2026-2027,26-27-friendly-newcastle-united-vs-darlington-2026-07-18,26-27-friendly-newcastle-united-vs-darlington-2026-07-18,evaluator_exact_opponents_and_kickoff,high
event,2026-2027,26-27-friendly-northampton-town-vs-coventry-city-2026-07-18,26-27-friendly-northampton-town-vs-coventry-city-2026-07-18,evaluator_exact_opponents_and_kickoff,high
event,2026-2027,26-27-friendly-nottingham-forest-vs-blackburn-rovers-2026-07-22,26-27-friendly-nottingham-forest-vs-blackburn-rovers-2026-07-22,evaluator_exact_opponents_and_kickoff,high
event,2026-2027,26-27-friendly-notts-county-vs-nottingham-forest-2026-07-18,26-27-friendly-notts-county-vs-nottingham-forest-2026-07-18,evaluator_exact_opponents_and_kickoff,high
event,2026-2027,26-27-friendly-oxford-united-vs-ipswich-town-2026-08-01,26-27-friendly-oxford-united-vs-ipswich-town-2026-08-01,evaluator_exact_opponents_and_kickoff,high
event,2026-2027,26-27-friendly-real-betis-vs-afc-bournemouth-2026-08-08,26-27-friendly-real-betis-vs-afc-bournemouth-2026-08-08,evaluator_exact_opponents_and_kickoff,high
event,2026-2027,26-27-friendly-stoke-city-vs-everton-2026-07-28,26-27-friendly-stoke-city-vs-everton-2026-07-28,evaluator_exact_opponents_and_kickoff,high
event,2026-2027,26-27-friendly-sunderland-vs-wrexham-2026-08-02,26-27-friendly-sunderland-vs-wrexham-2026-08-02,evaluator_exact_opponents_and_kickoff,high
event,2026-2027,26-27-friendly-valencia-vs-newcastle-united-2026-08-08,26-27-friendly-valencia-vs-newcastle-united-2026-08-08,evaluator_exact_opponents_and_kickoff,high
event,2026-2027,26-27-friendly-vfb-stuttgart-vs-everton-2026-08-08,26-27-friendly-vfb-stuttgart-vs-everton-2026-08-08,evaluator_exact_opponents_and_kickoff,high
event,2026-2027,26-27-friendly-walsall-vs-aston-villa-2026-07-21,26-27-friendly-walsall-vs-aston-villa-2026-07-21,evaluator_exact_opponents_and_kickoff,high
event,2026-2027,26-27-friendly-western-sydney-wanderers-fc-vs-chelsea-2026-07-28,26-27-friendly-western-sydney-wanderers-fc-vs-chelsea-2026-07-28,evaluator_exact_opponents_and_kickoff,high
event,2026-2027,26-27-friendly-wycombe-wanderers-vs-ipswich-town-2026-08-01,26-27-friendly-wycombe-wanderers-vs-ipswich-town-2026-08-01,evaluator_exact_opponents_and_kickoff,high
event,2026-2027,26-27-friendly-york-city-vs-sunderland-2026-07-18,26-27-friendly-york-city-vs-sunderland-2026-07-18,evaluator_exact_opponents_and_kickoff,high
player,2025-2026,6,Saliba,full_name,high
player,2025-2026,7,Calafiori,full_name,high
player,2025-2026,8,J.Timber,full_name,high
player,2025-2026,10,Lewis-Skelly,full_name,high
player,2025-2026,16,Saka,full_name,high
player,2025-2026,20,Trossard,full_name,high
player,2025-2026,21,Rice,full_name,high
player,2025-2026,24,Nørgaard,full_name,high
player,2025-2026,25,Nwaneri,full_name,high
player,2025-2026,27,Nelson,full_name,high
player,2025-2026,36,Cash,full_name,high
player,2025-2026,37,Digne,full_name,high
player,2025-2026,39,Maatsen,full_name,high
player,2025-2026,40,Mings,full_name,high
player,2025-2026,41,Pau,full_name,high
player,2025-2026,47,Rogers,full_name,high
player,2025-2026,52,J.Ramsey,full_name,high
player,2025-2026,53,Malen,full_name,high
player,2025-2026,54,McGinn,full_name,high
player,2025-2026,55,Barkley,full_name,high
player,2025-2026,58,Kamara,full_name,high
player,2025-2026,59,Onana,full_name,high
player,2025-2026,64,Watkins,full_name,high
player,2025-2026,67,Petrović,full_name,high
player,2025-2026,74,Truffert,full_name,high
player,2025-2026,81,Kluivert,full_name,high
player,2025-2026,82,Semenyo,full_name,high
player,2025-2026,83,O.Dango,full_name,high
player,2025-2026,84,Tavernier,full_name,high
