player_id,match_id,player_name,rating,possession_lost,attacking_shots_blocked,total_passes,total_long_balls,total_crosses,total_dribbles,ground_duels_lost,aerial_duels_lost,yellow_cards,red_cards,goalkeeper_punches,penalties_won,penalties_conceded,penalties_faced,penalties_saved
57,26-27-friendly-afc-bournemouth-vs-st.-pauli-2026-07-24,Petrović,,0,0,0,0,0,0,0,0,0,0,0,,,,
59,26-27-friendly-afc-bournemouth-vs-st.-pauli-2026-07-24,Dennis,,0,0,0,0,0,0,0,0,0,0,0,,,,
60,26-27-friendly-afc-bournemouth-vs-st.-pauli-2026-07-24,Hill,,0,0,0,0,0,0,0,0,0,0,0,,,,
61,26-27-friendly-afc-bournemouth-vs-st.-pauli-2026-07-24,Truffert,,0,0,0,0,0,0,0,0,0,0,0,,,,
62,26-27-friendly-afc-bournemouth-vs-st.-pauli-2026-07-24,Diakité,,0,0,0,0,0,0,0,0,0,0,0,,,,
64,26-27-friendly-afc-bournemouth-vs-st.-pauli-2026-07-24,Smith,,0,0,0,0,0,0,0,0,0,0,0,,,,
68,26-27-friendly-afc-bournemouth-vs-st.-pauli-2026-07-24,Tavernier,,0,0,0,0,0,0,0,0,0,0,0,,,,
69,26-27-friendly-afc-bournemouth-vs-st.-pauli-2026-07-24,Scott,,0,0,0,0,0,0,0,0,0,0,0,,,,
70,26-27-friendly-afc-bournemouth-vs-st.-pauli-2026-07-24,Kluivert,,0,0,0,0,0,0,0,0,0,0,0,,,,
71,26-27-friendly-afc-bournemouth-vs-st.-pauli-2026-07-24,Cook,,0,0,0,0,0,0,0,0,0,0,0,,,,
72,26-27-friendly-afc-bournemouth-vs-st.-pauli-2026-07-24,Gannon-Doak,,0,0,0,0,0,0,0,0,0,0,0,,,,
75,26-27-friendly-afc-bournemouth-vs-st.-pauli-2026-07-24,Christie,,0,0,0,0,0,0,0,0,0,0,0,,,,
76,26-27-friendly-afc-bournemouth-vs-st.-pauli-2026-07-24,Tóth.A,,0,0,0,0,0,0,0,0,0,0,0,,,,
77,26-27-friendly-afc-bournemouth-vs-st.-pauli-2026-07-24,Adli,,0,0,0,0,0,0,0,0,0,0,0,,,,
79,26-27-friendly-afc-bournemouth-vs-st.-pauli-2026-07-24,Evanilson,,0,0,0,0,0,0,0,0,0,0,0,,,,
80,26-27-friendly-afc-bournemouth-vs-st.-pauli-2026-07-24,Enes Ünal,,0,0,0,0,0,0,0,0,0,0,0,,,,
226,26-27-friendly-bolton-wanderers-vs-everton-2026-07-25,Pickford,,0,0,0,0,0,0,0,0,0,0,0,,,,
227,26-27-friendly-bolton-wanderers-vs-everton-2026-07-25,Travers,,0,0,0,0,0,0,0,0,0,0,0,,,,
228,26-27-friendly-bolton-wanderers-vs-everton-2026-07-25,King,,0,0,0,0,0,0,0,0,0,0,0,,,,
229,26-27-friendly-bolton-wanderers-vs-everton-2026-07-25,Tarkowski,,0,0,0,0,0,0,0,0,0,0,0,,,,
230,26-27-friendly-bolton-wanderers-vs-everton-2026-07-25,Branthwaite,,0,0,0,0,0,0,0,0,0,0,0,,,,
231,26-27-friendly-bolton-wanderers-vs-everton-2026-07-25,Keane,,0,0,0,0,0,0,0,0,0,0,0,,,,
232,26-27-friendly-bolton-wanderers-vs-everton-2026-07-25,O'Brien,,0,0,0,0,0,0,0,0,0,0,0,,,,
235,26-27-friendly-bolton-wanderers-vs-everton-2026-07-25,Aznou,,0,0,0,0,0,0,0,0,0,0,0,,,,
