match_id,minute,home_xg,away_xg,home_cumulative_xg,away_cumulative_xg
26-27-friendly-bromley-vs-crystal-palace-2026-07-25,3,0.083,0,0.083,0
26-27-friendly-bromley-vs-crystal-palace-2026-07-25,4,0,0.193,0.083,0.193
26-27-friendly-bromley-vs-crystal-palace-2026-07-25,11,0,0.323,0.083,0.516
26-27-friendly-bromley-vs-crystal-palace-2026-07-25,14,0,0.071,0.083,0.587
26-27-friendly-bromley-vs-crystal-palace-2026-07-25,22,0.027,0,0.11,0.587
26-27-friendly-bromley-vs-crystal-palace-2026-07-25,27,0,0.044,0.11,0.631
26-27-friendly-bromley-vs-crystal-palace-2026-07-25,28,0,0.241,0.11,0.872
26-27-friendly-bromley-vs-crystal-palace-2026-07-25,31,0,0.356,0.11,1.228
26-27-friendly-bromley-vs-crystal-palace-2026-07-25,32,0.1,0,0.21,1.228
26-27-friendly-bromley-vs-crystal-palace-2026-07-25,48,0,0.048,0.21,1.276
26-27-friendly-bromley-vs-crystal-palace-2026-07-25,50,0.035,0,0.245,1.276
26-27-friendly-bromley-vs-crystal-palace-2026-07-25,51,0.045,0,0.29,1.276
26-27-friendly-bromley-vs-crystal-palace-2026-07-25,60,0,0.051,0.29,1.327
26-27-friendly-bromley-vs-crystal-palace-2026-07-25,61,0,0.18,0.29,1.507
26-27-friendly-bromley-vs-crystal-palace-2026-07-25,62,0.061,0,0.351,1.507
26-27-friendly-bromley-vs-crystal-palace-2026-07-25,65,0,0.052,0.351,1.559
26-27-friendly-bromley-vs-crystal-palace-2026-07-25,67,0,0.313,0.351,1.872
26-27-friendly-bromley-vs-crystal-palace-2026-07-25,68,0,0.277,0.351,2.149
26-27-friendly-bromley-vs-crystal-palace-2026-07-25,75,0.79,0,1.141,2.149
26-27-friendly-bromley-vs-crystal-palace-2026-07-25,77,0,0.063,1.141,2.212
26-27-friendly-bromley-vs-crystal-palace-2026-07-25,80,0,0.121,1.141,2.333
26-27-friendly-bromley-vs-crystal-palace-2026-07-25,82,0,0.03,1.141,2.363
26-27-friendly-bromley-vs-crystal-palace-2026-07-25,84,0,0.127,1.141,2.49
26-27-friendly-bromley-vs-crystal-palace-2026-07-25,86,0.079,0,1.22,2.49
26-27-friendly-bromley-vs-crystal-palace-2026-07-25,90,0,0.034,1.22,2.524
26-27-friendly-crystal-palace-vs-swindon-town-2026-07-18,9,0.357,0,0.357,0
26-27-friendly-crystal-palace-vs-swindon-town-2026-07-18,14,0.1,0,0.457,0
26-27-friendly-crystal-palace-vs-swindon-town-2026-07-18,15,0,0.06,0.457,0.06
26-27-friendly-crystal-palace-vs-swindon-town-2026-07-18,17,0.148,0,0.605,0.06
26-27-friendly-crystal-palace-vs-swindon-town-2026-07-18,18,0.077,0,0.682,0.06
26-27-friendly-crystal-palace-vs-swindon-town-2026-07-18,19,0.026,0,0.708,0.06
26-27-friendly-crystal-palace-vs-swindon-town-2026-07-18,20,0.054,0,0.762,0.06
26-27-friendly-crystal-palace-vs-swindon-town-2026-07-18,21,0.264,0,1.026,0.06
26-27-friendly-crystal-palace-vs-swindon-town-2026-07-18,27,0,0.098,1.026,0.158
26-27-friendly-crystal-palace-vs-swindon-town-2026-07-18,28,0,0.821,1.026,0.979
26-27-friendly-crystal-palace-vs-swindon-town-2026-07-18,31,0,0.066,1.026,1.045
26-27-friendly-crystal-palace-vs-swindon-town-2026-07-18,33,0,0.122,1.026,1.167
26-27-friendly-crystal-palace-vs-swindon-town-2026-07-18,40,0,0.087,1.026,1.254
26-27-friendly-crystal-palace-vs-swindon-town-2026-07-18,42,0,0.067,1.026,1.321
26-27-friendly-crystal-palace-vs-swindon-town-2026-07-18,43,0,0.691,1.026,2.012
26-27-friendly-crystal-palace-vs-swindon-town-2026-07-18,50,0,0.038,1.026,2.05
26-27-friendly-crystal-palace-vs-swindon-town-2026-07-18,55,0,0.06,1.026,2.11
26-27-friendly-crystal-palace-vs-swindon-town-2026-07-18,56,0.058,0,1.084,2.11
26-27-friendly-crystal-palace-vs-swindon-town-2026-07-18,59,0.79,0,1.874,2.11
26-27-friendly-crystal-palace-vs-swindon-town-2026-07-18,67,0.048,0,1.922,2.11
26-27-friendly-crystal-palace-vs-swindon-town-2026-07-18,71,0.066,0,1.988,2.11
26-27-friendly-crystal-palace-vs-swindon-town-2026-07-18,82,0.187,0,2.175,2.11
26-27-friendly-crystal-palace-vs-swindon-town-2026-07-18,90,0,0.11,2.175,2.22
26-27-friendly-gateshead-fc-vs-newcastle-united-2026-07-25,2,0,0.143,0,0.143
26-27-friendly-gateshead-fc-vs-newcastle-united-2026-07-25,10,0,0.088,0,0.231
26-27-friendly-gateshead-fc-vs-newcastle-united-2026-07-25,14,0.135,0,0.135,0.231
26-27-friendly-gateshead-fc-vs-newcastle-united-2026-07-25,32,0,0.082,0.135,0.313
26-27-friendly-gateshead-fc-vs-newcastle-united-2026-07-25,33,0,0.028,0.135,0.341
26-27-friendly-gateshead-fc-vs-newcastle-united-2026-07-25,34,0.168,0,0.303,0.341
26-27-friendly-gateshead-fc-vs-newcastle-united-2026-07-25,42,0,0.702,0.303,1.043
26-27-friendly-gateshead-fc-vs-newcastle-united-2026-07-25,47,0.025,0,0.328,1.043
26-27-friendly-gateshead-fc-vs-newcastle-united-2026-07-25,49,0,0.033,0.328,1.076
26-27-friendly-gateshead-fc-vs-newcastle-united-2026-07-25,59,0,0.114,0.328,1.19
26-27-friendly-gateshead-fc-vs-newcastle-united-2026-07-25,72,0,0.111,0.328,1.301
26-27-friendly-gateshead-fc-vs-newcastle-united-2026-07-25,76,0,0.026,0.328,1.327
26-27-friendly-gateshead-fc-vs-newcastle-united-2026-07-25,79,0,0.401,0.328,1.728
26-27-friendly-gateshead-fc-vs-newcastle-united-2026-07-25,80,0,0.094,0.328,1.822
26-27-friendly-liverpool-vs-sunderland-2026-07-25,13,0.058,0,0.058,0
26-27-friendly-liverpool-vs-sunderland-2026-07-25,17,0,0.019,0.058,0.019
26-27-friendly-liverpool-vs-sunderland-2026-07-25,28,0,0.057,0.058,0.076
26-27-friendly-liverpool-vs-sunderland-2026-07-25,31,0,0.032,0.058,0.108
26-27-friendly-liverpool-vs-sunderland-2026-07-25,32,0,0.11,0.058,0.218
26-27-friendly-liverpool-vs-sunderland-2026-07-25,49,0,0.207,0.058,0.425
26-27-friendly-liverpool-vs-sunderland-2026-07-25,56,0.034,0,0.092,0.425
26-27-friendly-liverpool-vs-sunderland-2026-07-25,60,0.487,0,0.579,0.425
26-27-friendly-liverpool-vs-sunderland-2026-07-25,61,0.063,0,0.642,0.425
26-27-friendly-liverpool-vs-sunderland-2026-07-25,63,0.104,0,0.746,0.425
26-27-friendly-liverpool-vs-sunderland-2026-07-25,69,0,0.055,0.746,0.48
26-27-friendly-liverpool-vs-sunderland-2026-07-25,72,0.108,0,0.854,0.48
26-27-friendly-liverpool-vs-sunderland-2026-07-25,73,0,0.029,0.854,0.509
26-27-friendly-liverpool-vs-sunderland-2026-07-25,74,0,0.062,0.854,0.571
26-27-friendly-liverpool-vs-sunderland-2026-07-25,75,0,0.048,0.854,0.619
26-27-friendly-liverpool-vs-sunderland-2026-07-25,77,0.143,0,0.997,0.619
26-27-friendly-liverpool-vs-sunderland-2026-07-25,78,0.111,0,1.108,0.619
26-27-friendly-liverpool-vs-sunderland-2026-07-25,85,0.261,0,1.369,0.619
26-27-friendly-liverpool-vs-sunderland-2026-07-25,87,0.056,0,1.425,0.619
26-27-friendly-manchester-united-vs-wrexham-2026-07-18,22,0.053,0,0.053,0
26-27-friendly-manchester-united-vs-wrexham-2026-07-18,24,0.047,0,0.1,0
26-27-friendly-manchester-united-vs-wrexham-2026-07-18,26,0.082,0,0.182,0
26-27-friendly-manchester-united-vs-wrexham-2026-07-18,32,0,0.056,0.182,0.056
26-27-friendly-manchester-united-vs-wrexham-2026-07-18,39,0,0.553,0.182,0.609
26-27-friendly-manchester-united-vs-wrexham-2026-07-18,66,0,0.091,0.182,0.7
26-27-friendly-manchester-united-vs-wrexham-2026-07-18,78,0.243,0,0.425,0.7
26-27-friendly-manchester-united-vs-wrexham-2026-07-18,81,0.032,0,0.457,0.7
