competition_name,country,is_women,is_active,current_season_name,current_season_year,season_start,season_end
Africa Cup of Nations 2023,Africa,False,True,Africa Cup of Nations 2025,2025,2025-01-01,2025-12-31
CAF Champions League,Africa,False,True,CAF Champions League 25/26,2025,2025-07-01,2026-06-30
World Cup Qualification CAF,Africa,False,True,"FIFA World Cup, Qualification CAF 2025",2025,2025-01-01,2025-12-31
AFC Asian Cup 2023,Asia,False,True,AFC Asian Cup 2027,2027,2027-01-01,2027-12-31
World Cup Qualification AFC,Asia,False,True,,,,
NPL Queensland,Australia,False,True,Queensland NPL 2026,2026,2026-01-01,2026-12-31
Pro League,Belgium,False,True,Pro League 26/27,2026,2026-07-01,2027-06-30
Brasileirão Serie A,Brazil,False,True,Brasileiro Serie A 2026,2026,2026-01-01,2026-12-31
Brasileirão Serie B,Brazil,False,True,Brasileiro Serie B 2026,2026,2026-01-01,2026-12-31
Copa do Brasil,Brazil,False,True,Copa do Brasil 2026,2026,2026-01-01,2026-12-31
Parva Liga,Bulgaria,False,True,Parva Liga 26/27,2026,2026-07-01,2027-06-30
Chinese Super League,China,False,True,Chinese Super League 2026,2026,2026-01-01,2026-12-31
Categoría Primera A,Colombia,False,True,Liga DIMAYOR 2026,2026,2026-01-01,2026-12-31
Copa Colombia,Colombia,False,True,Copa Colombia 2026,2026,2026-01-01,2026-12-31
Danish Superliga,Denmark,False,True,Superliga 26/27,2026,2026-07-01,2027-06-30
Carabao Cup,England,False,True,EFL Cup 26/27,2026,2026-07-01,2027-06-30
Championship,England,False,True,Championship 26/27,2026,2026-07-01,2027-06-30
FA Cup,England,False,True,FA Cup 25/26,2025,2025-07-01,2026-06-30
Premier League,England,False,True,Premier League 26/27,2026,2026-07-01,2027-06-30
Champions League,Europe,False,True,UEFA Champions League 26/27,2026,2026-07-01,2027-06-30
Conference League,Europe,False,True,UEFA Conference League 26/27,2026,2026-07-01,2027-06-30
Europa League,Europe,False,True,UEFA Europa League 26/27,2026,2026-07-01,2027-06-30
UEFA Euro 2024,Europe,False,True,EURO 2024,2024,2024-01-01,2024-12-31
UEFA European U19 Championship,Europe,False,True,U19 European Championship 2026,2026,2026-01-01,2026-12-31
UEFA Nations League,Europe,False,True,UEFA Nations League 26/27,2026,2026-07-01,2027-06-30
World Cup Qualification UEFA,Europe,False,True,"World Cup Qualification, UEFA 2026",2026,2026-01-01,2026-12-31
Suomen Cup,Finland,False,True,Suomen Cup 2026,2026,2026-01-01,2026-12-31
Veikkausliiga,Finland,False,True,Veikkausliiga 2026,2026,2026-01-01,2026-12-31
Coupe de France,France,False,True,Coupe de France 25/26,2025,2025-07-01,2026-06-30
Ligue 1,France,False,True,Ligue 1 26/27,2026,2026-07-01,2027-06-30
Bundesliga,Germany,False,True,Bundesliga 26/27,2026,2026-07-01,2027-06-30
DFB Pokal,Germany,False,True,DFB Pokal 26/27,2026,2026-07-01,2027-06-30
Stoiximan Super League,Greece,False,True,Super League 26/27,2026,2026-07-01,2027-06-30
International Friendly Games,International,False,True,Int. Friendly Games 2026,2026,2026-01-01,2026-12-31
World Cup 2026,International,False,True,World Cup 2026,2026,2026-01-01,2026-12-31
Coppa Italia,Italy,False,True,Coppa Italia 26/27,2026,2026-07-01,2027-06-30
Serie A,Italy,False,True,Serie A 26/27,2026,2026-07-01,2027-06-30
Emperor Cup,Japan,False,True,Emperor Cup 2026,2026,2026-01-01,2026-12-31
J1 League,Japan,False,True,J1 League 26/27,2026,2026-07-01,2027-06-30
Liga MX Apertura,Mexico,False,True,"Liga MX, Apertura 2026",2026,2026-01-01,2026-12-31
Liga MX Clausura,Mexico,False,True,"Liga MX, Clausura 2026",2025,2025-07-01,2026-06-30
Botola Pro,Morocco,False,True,Botola Pro D1 25/26,2025,2025-07-01,2026-06-30
Eredivisie,Netherlands,False,True,Eredivisie 26/27,2026,2026-07-01,2027-06-30
Nigeria Premier Football League,Nigeria,False,True,Premier League 25/26,2025,2025-07-01,2026-06-30
CONCACAF Gold Cup 2025,North America,False,True,CONCACAF Gold Cup 2025,2025,2025-01-01,2025-12-31
CONCACAF Nations League,North America,False,True,CONCACAF Nations League 24/25,2024,2024-07-01,2025-06-30
World Cup Qualification CONCACAF,North America,False,True,"World Cup Qualification 2026, CONCACAF",2025,2025-01-01,2025-12-31
Eliteserien,Norway,False,True,Eliteserien 2026,2026,2026-01-01,2026-12-31
World Cup Qualification OFC,Oceania,False,True,"World Cup Qualification, OFC 2024",2024,2024-01-01,2024-12-31
Ekstraklasa,Poland,False,True,Ekstraklasa 26/27,2026,2026-07-01,2027-06-30
Puchar Polski,Poland,False,True,Puchar Polski 26/27,2026,2026-07-01,2027-06-30
Liga 3,Portugal,False,True,Liga Portugal 3 26/27,2026,2026-07-01,2027-06-30
Liga Portugal Betclic,Portugal,False,True,Liga Portugal 26/27,2026,2026-07-01,2027-06-30
Superliga,Romania,False,True,Superliga 26/27,2026,2026-07-01,2027-06-30
Saudi Pro League,Saudi Arabia,False,True,Saudi Pro League 26/27,2026,2026-07-01,2027-06-30
