season,player_id,player_name,bzzoiro_availability,bzzoiro_injury_risk,contract_until,market_value_eur
2026-2027,3,Meslier,available,Unlikely,2026-06-30,9300000
2026-2027,5,J.Timber,available,Not Specifically,2028-06-30,73000000
2026-2027,6,Saliba,available,Unlikely,2030-06-30,94000000
2026-2027,7,Lewis-Skelly,available,Unlikely,2030-06-30,48000000
2026-2027,8,Calafiori,available,Not Specifically,2029-06-30,53000000
2026-2027,9,Hincapie,available,Unlikely,2031-06-30,46000000
2026-2027,11,Mosquera,available,Not Specifically,2030-06-30,38000000
2026-2027,12,Saka,available,Unlikely,2030-06-30,115000000
2026-2027,14,Eze,available,Somewhat,2029-06-30,69000000
2026-2027,15,Ødegaard,available,Unlikely,2028-06-30,71000000
2026-2027,16,Madueke,available,Somewhat,2030-06-30,54000000
2026-2027,22,Nwaneri,available,Unlikely,2026-06-30,39000000
2026-2027,24,Nelson,available,Somewhat,2026-06-30,8800000
2026-2027,25,Gyökeres,available,Not Specifically,2030-06-30,61000000
2026-2027,26,Havertz,available,Not Specifically,2028-06-30,53000000
2026-2027,557,Tzolis,available,Not Specifically,2029-06-30,42000000
